Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
molido (0.0084),fácil (0.0171),cafés (0.0128),hacer (0.0081),sale (0.0293),hacer (0.0141),puede (0.0089),servicio (0.0198),crema (0.0131),ma (0.0086),,,,,,,,,,
cafés (0.0074),buen (0.0153),cada (0.0107),q (0.0075),bueno (0.0108),gasta (0.0084),cada (0.0074),años (0.0112),mejor (0.0129),molido (0.0071),,,,,,,,,,
ahora (0.0071),usar (0.0141),sale (0.0102),ser (0.0074),caliente (0.0091),mucha (0.0082),así (0.0072),técnico (0.0110),buena (0.0114),cierto (0.0070),,,,,,,,,,
dentro (0.0067),calidad (0.0111),molido (0.0093),marca (0.0064),gusta (0.0072),sale (0.0079),limpieza (0.0063),después (0.0094),buen (0.0101),cantidad (0.0069),,,,,,,,,,
grano (0.0064),buena (0.0107),hacer (0.0089),vaporizador (0.0064),verdad (0.0069),buen (0.0079),bandeja (0.0061),año (0.0087),cafés (0.0096),solo (0.0061),,,,,,,,,,
mejor (0.0061),precio (0.0101),ma (0.0089),buen (0.0056),hacer (0.0059),demás (0.0077),calidad (0.0059),garantía (0.0085),hacer (0.0094),menos (0.0060),,,,,,,,,,
así (0.0060),cafés (0.0095),bueno (0.0088),cafés (0.0053),solo (0.0058),espuma (0.0068),filtro (0.0058),producto (0.0083),espuma (0.0088),echa (0.0060),,,,,,,,,,
aguado (0.0059),limpiar (0.0087),depósito (0.0085),días (0.0052),llevo (0.0058),gusta (0.0068),además (0.0055),problema (0.0080),sale (0.0084),buen (0.0059),,,,,,,,,,
aún (0.0055),hacer (0.0076),ruido (0.0078),pagina (0.0052),queda (0.0057),toda (0.0068),dureza (0.0053),marca (0.0076),cápsulas (0.0080),modelo (0.0059),,,,,,,,,,
menos (0.0054),espuma (0.0068),limpia (0.0071),compra (0.0051),vez (0.0055),aunque (0.0064),plástico (0.0053),uso (0.0075),marca (0.0073),uso (0.0056),,,,,,,,,,
