Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
fácil (0.0221),calidad (0.0091),cafés (0.0122),ma (0.0162),buena (0.0199),sale (0.0268),q (0.0268),servicio (0.0213),además (0.0097),vez (0.0136),,,,,,,,,,
usar (0.0140),cafés (0.0088),hacer (0.0092),hacer (0.0117),buen (0.0188),espuma (0.0132),buen (0.0174),años (0.0124),cada (0.0090),cada (0.0130),,,,,,,,,,
limpiar (0.0096),cantidad (0.0086),cantidad (0.0084),bueno (0.0109),compra (0.0146),gusta (0.0118),buena (0.0090),técnico (0.0114),cafés (0.0090),cafés (0.0076),,,,,,,,,,
bastante (0.0091),espuma (0.0082),cómoda (0.0067),maquina (0.0103),calidad (0.0131),bueno (0.0086),producto (0.0085),marca (0.0110),limpieza (0.0084),dentro (0.0071),,,,,,,,,,
funciona (0.0089),precio (0.0066),día (0.0064),deposito (0.0092),precio (0.0127),crema (0.0083),sale (0.0085),problema (0.0094),hacer (0.0069),sale (0.0070),,,,,,,,,,
además (0.0081),podemos (0.0066),uso (0.0059),buen (0.0087),molido (0.0112),mejor (0.0081),mal (0.0083),garantía (0.0090),uso (0.0069),hacer (0.0069),,,,,,,,,,
cápsulas (0.0079),calentar (0.0064),solo (0.0054),molido (0.0083),usar (0.0109),hacer (0.0078),cafés (0.0082),año (0.0087),calidad (0.0068),tiempo (0.0066),,,,,,,,,,
buena (0.0075),principal (0.0061),después (0.0053),sale (0.0083),mejor (0.0105),caliente (0.0071),primera (0.0081),después (0.0084),puede (0.0064),filtro (0.0061),,,,,,,,,,
cafés (0.0071),funciona (0.0059),cada (0.0052),gusta (0.0070),limpieza (0.0105),después (0.0071),nueva (0.0080),ahora (0.0080),así (0.0061),depósito (0.0060),,,,,,,,,,
tazas (0.0070),bastante (0.0059),tiempo (0.0050),mucha (0.0066),limpiar (0.0099),buen (0.0069),devolví (0.0076),producto (0.0079),depósito (0.0060),grano (0.0059),,,,,,,,,,
