Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
funciona (0.0154),hacer (0.0089),cafés (0.0126),después (0.0116),servicio (0.0441),sale (0.0302),hacer (0.0156),calidad (0.0100),hacer (0.0098),fácil (0.0166),,,,,,,,,,
producto (0.0136),cafés (0.0074),además (0.0073),sale (0.0102),técnico (0.0232),q (0.0192),sale (0.0117),además (0.0084),vez (0.0096),usar (0.0145),,,,,,,,,,
día (0.0080),molido (0.0073),mejor (0.0071),vez (0.0095),marca (0.0167),gusta (0.0135),buena (0.0084),cafés (0.0076),ma (0.0091),buen (0.0144),,,,,,,,,,
uso (0.0079),grano (0.0065),hacer (0.0065),ahora (0.0087),siemens (0.0137),buena (0.0133),espuma (0.0083),precio (0.0069),mejor (0.0090),cada (0.0135),,,,,,,,,,
recomiendo (0.0074),cápsulas (0.0064),molido (0.0063),problema (0.0087),garantía (0.0121),maquina (0.0129),bastante (0.0076),grano (0.0064),solo (0.0083),molido (0.0105),,,,,,,,,,
calidad (0.0069),filtro (0.0063),fácil (0.0062),segunda (0.0078),reparación (0.0116),bueno (0.0112),funciona (0.0071),puede (0.0062),tiempo (0.0074),limpiar (0.0100),,,,,,,,,,
después (0.0064),cada (0.0061),bueno (0.0062),mismo (0.0074),dicen (0.0114),cafés (0.0102),bueno (0.0070),podemos (0.0053),dentro (0.0062),cafés (0.0091),,,,,,,,,,
dispensador (0.0063),vez (0.0061),compra (0.0058),igual (0.0071),cliente (0.0109),crema (0.0090),calentar (0.0068),tener (0.0053),cada (0.0060),limpieza (0.0091),,,,,,,,,,
buen (0.0063),primera (0.0060),puedo (0.0055),compré (0.0069),atención (0.0105),caliente (0.0089),así (0.0062),cantidad (0.0053),deposito (0.0060),limpia (0.0082),,,,,,,,,,
hacer (0.0061),tazas (0.0057),sabor (0.0053),veces (0.0069),días (0.0088),aguado (0.0085),buen (0.0059),ser (0.0052),mucha (0.0054),bueno (0.0082),,,,,,,,,,
