Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
fácil (0.0133),sale (0.0119),cada (0.0206),q (0.0106),cafés (0.0134),servicio (0.0388),ma (0.0096),bueno (0.0146),caja (0.0121),sale (0.0328),,,,,,,,,,
calidad (0.0130),después (0.0107),limpieza (0.0147),sale (0.0093),hacer (0.0097),técnico (0.0190),vez (0.0092),funciona (0.0086),después (0.0092),caliente (0.0183),,,,,,,,,,
buena (0.0121),uso (0.0091),buen (0.0123),mejor (0.0064),solo (0.0089),producto (0.0156),bastante (0.0081),hacer (0.0078),tener (0.0084),buen (0.0179),,,,,,,,,,
usar (0.0099),veces (0.0091),mucha (0.0122),cafés (0.0060),temperatura (0.0061),días (0.0135),problema (0.0075),bonita (0.0074),producto (0.0069),espuma (0.0148),,,,,,,,,,
molido (0.0095),vez (0.0088),gasta (0.0118),menos (0.0055),además (0.0060),marca (0.0123),ser (0.0068),cafés (0.0071),mal (0.0069),gusta (0.0136),,,,,,,,,,
precio (0.0095),años (0.0087),limpia (0.0111),ma (0.0054),puede (0.0059),problema (0.0107),facil (0.0067),sale (0.0070),nueva (0.0067),hacer (0.0113),,,,,,,,,,
buen (0.0094),año (0.0087),bueno (0.0110),anterior (0.0052),así (0.0057),tras (0.0101),bueno (0.0066),instrucciones (0.0059),proceso (0.0052),mejor (0.0089),,,,,,,,,,
cafés (0.0093),funciona (0.0078),vez (0.0103),puede (0.0051),siempre (0.0048),reparación (0.0101),hacer (0.0061),uso (0.0057),viene (0.0049),puede (0.0084),,,,,,,,,,
además (0.0085),marca (0.0074),hacer (0.0102),años (0.0050),menos (0.0048),cliente (0.0100),tiempo (0.0060),ser (0.0056),euro (0.0046),bueno (0.0084),,,,,,,,,,
cápsulas (0.0085),igual (0.0071),ruido (0.0097),casi (0.0049),plástico (0.0047),atención (0.0099),así (0.0058),calidad (0.0054),rota (0.0045),buena (0.0077),,,,,,,,,,
