Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
cafés (0.0102),sale (0.0086),sale (0.0265),buena (0.0156),sale (0.0072),puede (0.0153),hacer (0.0153),fácil (0.0154),hacer (0.0123),servicio (0.0169),,,,,,,,,,
cada (0.0101),hacer (0.0084),buen (0.0218),calidad (0.0115),funciona (0.0071),solo (0.0100),cafés (0.0085),además (0.0119),cafés (0.0103),años (0.0106),,,,,,,,,,
molido (0.0088),vez (0.0076),espuma (0.0191),cafés (0.0101),molido (0.0065),cafés (0.0097),buen (0.0082),calidad (0.0101),sale (0.0095),técnico (0.0095),,,,,,,,,,
depósito (0.0074),ma (0.0074),caliente (0.0137),precio (0.0100),casa (0.0064),plástico (0.0089),puedes (0.0076),usar (0.0090),solo (0.0063),marca (0.0094),,,,,,,,,,
cantidad (0.0066),instrucciones (0.0073),fácil (0.0134),bastante (0.0095),promoción (0.0061),pastillas (0.0075),buena (0.0072),limpieza (0.0089),gusta (0.0058),producto (0.0088),,,,,,,,,,
hacer (0.0065),uso (0.0071),usar (0.0129),sale (0.0081),va (0.0057),dispensador (0.0071),cada (0.0070),uso (0.0081),bueno (0.0057),después (0.0081),,,,,,,,,,
cápsulas (0.0065),solo (0.0066),bueno (0.0125),mejor (0.0077),vez (0.0056),filtro (0.0069),momento (0.0065),bueno (0.0080),después (0.0057),problema (0.0077),,,,,,,,,,
grano (0.0065),así (0.0049),buena (0.0117),anterior (0.0063),momento (0.0056),tener (0.0066),espuma (0.0064),precio (0.0079),crema (0.0054),veces (0.0073),,,,,,,,,,
tiempo (0.0059),mejor (0.0049),limpiar (0.0087),gusta (0.0059),compra (0.0055),principal (0.0064),maquina (0.0063),cafés (0.0076),buen (0.0052),vez (0.0073),,,,,,,,,,
utilizar (0.0058),mal (0.0049),gusta (0.0087),modelo (0.0057),maravilla (0.0054),manual (0.0063),cantidad (0.0061),limpiar (0.0065),mucha (0.0051),garantía (0.0072),,,,,,,,,,
