Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
ma (0.0524),fácil (0.0245),cada (0.0144),dentro (0.0080),buen (0.0127),servicio (0.0212),además (0.0164),hacer (0.0129),sale (0.0165),caja (0.0110),,,,,,,,,,
maquina (0.0380),buen (0.0224),vez (0.0087),segunda (0.0076),sale (0.0125),técnico (0.0116),calidad (0.0101),cada (0.0080),espuma (0.0108),uso (0.0107),,,,,,,,,,
bueno (0.0228),buena (0.0219),así (0.0074),instrucciones (0.0072),cafés (0.0111),marca (0.0112),cuenta (0.0097),va (0.0072),hacer (0.0094),bueno (0.0087),,,,,,,,,,
facil (0.0206),usar (0.0178),tiempo (0.0066),modelo (0.0070),molido (0.0095),años (0.0110),cafés (0.0084),cafés (0.0068),cafés (0.0092),depósito (0.0082),,,,,,,,,,
deposito (0.0170),calidad (0.0158),después (0.0056),primera (0.0069),limpieza (0.0090),problema (0.0107),bebidas (0.0084),podemos (0.0064),bueno (0.0067),hacer (0.0077),,,,,,,,,,
sale (0.0156),precio (0.0131),hacer (0.0054),siemens (0.0067),hacer (0.0083),después (0.0104),espresso (0.0076),molido (0.0062),presión (0.0060),mal (0.0073),,,,,,,,,,
ruido (0.0155),cafés (0.0118),buen (0.0052),años (0.0057),buena (0.0082),año (0.0100),limpieza (0.0070),cantidad (0.0055),vez (0.0053),molido (0.0062),,,,,,,,,,
gasta (0.0153),limpiar (0.0108),puedes (0.0049),hecho (0.0054),grano (0.0080),garantía (0.0091),pastillas (0.0068),depósito (0.0055),precio (0.0053),momento (0.0062),,,,,,,,,,
capsulas (0.0147),q (0.0096),grifo (0.0049),pagina (0.0051),mucha (0.0076),producto (0.0089),puede (0.0066),parte (0.0054),bastante (0.0052),instrucciones (0.0060),,,,,,,,,,
mucha (0.0143),momento (0.0095),descalcificación (0.0048),solo (0.0051),depósito (0.0076),veces (0.0089),grano (0.0064),sólo (0.0051),caliente (0.0052),rápido (0.0057),,,,,,,,,,
