Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
sale (0.0129),buen (0.0169),sale (0.0170),servicio (0.0263),filtro (0.0103),precio (0.0149),además (0.0141),fácil (0.0204),hacer (0.0141),cápsulas (0.0112),,,,,,,,,,
tiempo (0.0087),buena (0.0111),q (0.0136),técnico (0.0142),así (0.0093),maquina (0.0106),cafés (0.0122),sale (0.0142),buen (0.0078),después (0.0084),,,,,,,,,,
compra (0.0086),cafés (0.0094),hacer (0.0091),después (0.0131),vez (0.0088),calidad (0.0095),calidad (0.0092),usar (0.0137),cafés (0.0074),molido (0.0075),,,,,,,,,,
buena (0.0082),calidad (0.0073),cantidad (0.0077),marca (0.0108),cada (0.0073),sale (0.0093),grano (0.0084),gusta (0.0120),puede (0.0069),mejor (0.0068),,,,,,,,,,
caliente (0.0080),sale (0.0068),cada (0.0070),año (0.0106),bueno (0.0072),producto (0.0081),molido (0.0076),bueno (0.0114),solo (0.0065),hacer (0.0066),,,,,,,,,,
hacer (0.0079),producto (0.0067),mejor (0.0064),garantía (0.0104),ahora (0.0063),mal (0.0058),cuenta (0.0068),cada (0.0100),sale (0.0060),cada (0.0060),,,,,,,,,,
funciona (0.0078),solo (0.0055),espuma (0.0063),uso (0.0101),veces (0.0062),caja (0.0056),opción (0.0067),buena (0.0100),puedes (0.0058),sale (0.0058),,,,,,,,,,
dia (0.0074),crema (0.0052),parece (0.0062),años (0.0099),hacer (0.0058),parece (0.0053),espresso (0.0064),limpiar (0.0097),aunque (0.0054),buen (0.0057),,,,,,,,,,
ma (0.0074),espuma (0.0049),vez (0.0059),producto (0.0093),sólo (0.0058),buena (0.0052),depósito (0.0060),bastante (0.0097),bastante (0.0054),toda (0.0057),,,,,,,,,,
comprar (0.0068),temperatura (0.0049),buen (0.0056),veces (0.0092),poner (0.0051),caso (0.0050),limpieza (0.0059),buen (0.0097),depósito (0.0053),usar (0.0055),,,,,,,,,,
