Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
cafés (0.0156),hacer (0.0109),sale (0.0300),calidad (0.0186),sale (0.0173),gusta (0.0142),cada (0.0100),servicio (0.0205),cafés (0.0117),buen (0.0146),,,,,,,,,,
molido (0.0095),sale (0.0094),fácil (0.0210),precio (0.0148),caliente (0.0171),hacer (0.0116),hacer (0.0092),técnico (0.0109),depósito (0.0086),precio (0.0098),,,,,,,,,,
además (0.0084),cafés (0.0092),espuma (0.0168),además (0.0128),funciona (0.0093),sale (0.0104),siemens (0.0081),después (0.0107),cada (0.0068),buena (0.0097),,,,,,,,,,
día (0.0071),vez (0.0084),usar (0.0160),puede (0.0105),demasiado (0.0086),bueno (0.0096),puede (0.0079),años (0.0107),vez (0.0062),cafés (0.0090),,,,,,,,,,
mantenimiento (0.0070),molido (0.0082),bueno (0.0138),uso (0.0104),nueva (0.0080),mucha (0.0083),tiempo (0.0073),problema (0.0103),grano (0.0062),crema (0.0075),,,,,,,,,,
hacer (0.0069),bueno (0.0081),buen (0.0122),buena (0.0080),limpiar (0.0075),buen (0.0083),plástico (0.0068),marca (0.0103),dentro (0.0061),hacer (0.0075),,,,,,,,,,
siemens (0.0068),facil (0.0075),buena (0.0110),cuenta (0.0074),buena (0.0074),bastante (0.0083),parece (0.0058),producto (0.0101),así (0.0057),molido (0.0069),,,,,,,,,,
tener (0.0065),buen (0.0072),mejor (0.0104),buen (0.0071),cafés (0.0065),cada (0.0083),calidad (0.0055),año (0.0085),podemos (0.0052),gusta (0.0065),,,,,,,,,,
uso (0.0065),cada (0.0069),limpiar (0.0097),espresso (0.0066),buen (0.0064),limpieza (0.0072),buena (0.0053),veces (0.0084),filtro (0.0049),después (0.0061),,,,,,,,,,
instrucciones (0.0064),cantidad (0.0069),caliente (0.0090),espacio (0.0059),esperaba (0.0064),vez (0.0072),vez (0.0052),garantía (0.0080),cantidad (0.0048),casa (0.0058),,,,,,,,,,
