Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
cada (0.0127),bebidas (0.0075),servicio (0.0192),fácil (0.0334),hacer (0.0124),sale (0.0257),siemens (0.0120),calidad (0.0235),sale (0.0141),siemens (0.0070),,,,,,,,,,
molido (0.0095),q (0.0069),marca (0.0106),buen (0.0282),cafés (0.0117),crema (0.0119),plástico (0.0098),precio (0.0166),años (0.0100),modelo (0.0067),,,,,,,,,,
cantidad (0.0088),ma (0.0060),técnico (0.0088),usar (0.0250),bastante (0.0084),q (0.0119),además (0.0096),buena (0.0135),año (0.0098),producto (0.0066),,,,,,,,,,
depósito (0.0088),tiempo (0.0058),después (0.0087),limpiar (0.0180),buen (0.0082),bueno (0.0115),parte (0.0080),además (0.0124),uso (0.0084),maquina (0.0059),,,,,,,,,,
cafés (0.0079),taza (0.0054),hacer (0.0086),bueno (0.0141),sale (0.0080),contenta (0.0095),cuenta (0.0079),podemos (0.0088),vez (0.0083),caja (0.0058),,,,,,,,,,
grano (0.0079),uso (0.0052),producto (0.0083),facil (0.0127),molido (0.0078),gusta (0.0088),pastillas (0.0076),uso (0.0087),después (0.0081),buena (0.0058),,,,,,,,,,
hacer (0.0071),molido (0.0051),problema (0.0079),limpia (0.0108),tener (0.0076),va (0.0087),cafés (0.0069),excelente (0.0079),veces (0.0080),problema (0.0053),,,,,,,,,,
así (0.0070),tazas (0.0051),cliente (0.0061),buena (0.0104),solo (0.0074),mucha (0.0086),toda (0.0067),espuma (0.0075),menos (0.0074),encanta (0.0053),,,,,,,,,,
puede (0.0069),caliente (0.0049),nueva (0.0060),compra (0.0100),usar (0.0072),cada (0.0086),bandeja (0.0063),cafés (0.0074),servicio (0.0072),vez (0.0052),,,,,,,,,,
cápsulas (0.0069),dentro (0.0045),dicen (0.0059),mejor (0.0092),cada (0.0069),precio (0.0085),filtro (0.0063),limpieza (0.0073),hacer (0.0068),hecho (0.0051),,,,,,,,,,
