Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
q (0.0260),fácil (0.0243),siemens (0.0207),caja (0.0132),cafés (0.0131),bueno (0.0132),sale (0.0155),servicio (0.0143),problema (0.0111),limpieza (0.0113),,,,,,,,,,
sale (0.0198),buen (0.0233),ma (0.0078),nueva (0.0118),además (0.0120),sale (0.0120),hacer (0.0109),marca (0.0090),uso (0.0097),cada (0.0109),,,,,,,,,,
vez (0.0109),usar (0.0194),años (0.0072),calidad (0.0088),depósito (0.0085),limpiar (0.0092),cada (0.0105),técnico (0.0088),mala (0.0081),bastante (0.0098),,,,,,,,,,
anterior (0.0105),buena (0.0180),poner (0.0067),video (0.0085),puede (0.0081),facil (0.0088),cafés (0.0100),uso (0.0075),servicio (0.0077),gasta (0.0094),,,,,,,,,,
menos (0.0096),calidad (0.0132),recomiendo (0.0066),después (0.0084),molido (0.0079),mucha (0.0082),vez (0.0093),años (0.0069),después (0.0075),buena (0.0089),,,,,,,,,,
mejor (0.0091),precio (0.0129),cafés (0.0064),foto (0.0083),grano (0.0073),vez (0.0070),caliente (0.0092),días (0.0068),vez (0.0071),uso (0.0086),,,,,,,,,,
cafés (0.0086),momento (0.0112),hacer (0.0057),producto (0.0077),calidad (0.0063),cafés (0.0060),espuma (0.0079),después (0.0066),producto (0.0069),mucha (0.0063),,,,,,,,,,
hacer (0.0084),gusta (0.0106),pagina (0.0057),ahora (0.0075),tener (0.0062),pues (0.0057),cápsulas (0.0075),mal (0.0063),hacer (0.0067),hacer (0.0061),,,,,,,,,,
segunda (0.0079),limpiar (0.0105),maquina (0.0056),fallos (0.0072),opción (0.0061),gasta (0.0055),así (0.0074),año (0.0062),problemas (0.0066),sale (0.0059),,,,,,,,,,
después (0.0075),sale (0.0104),dice (0.0051),cafeteras (0.0072),puedes (0.0060),limpieza (0.0055),buen (0.0068),producto (0.0061),funciona (0.0063),tiempo (0.0058),,,,,,,,,,
