Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
cápsulas (0.0213),producto (0.0356),calidad (0.0097),funciona (0.0271),cápsulas (0.0484),servicio (0.0154),usar (0.0528),buena (0.0363),gusto (0.0406),cápsulas (0.0183),,,,,,,,,,
cápsula (0.0116),caja (0.0281),años (0.0086),sale (0.0163),fácil (0.0172),ruido (0.0143),fácil (0.0513),precio (0.0260),ma (0.0290),gusta (0.0152),,,,,,,,,,
hacer (0.0088),funciona (0.0166),cápsula (0.0085),cápsulas (0.0153),usar (0.0156),funciona (0.0112),buen (0.0215),calidad (0.0239),dolce (0.0283),depósito (0.0116),,,,,,,,,,
uso (0.0085),perfecta (0.0152),precio (0.0082),modelo (0.0140),marca (0.0150),sale (0.0111),tamaño (0.0166),buen (0.0198),capsulas (0.0169),grande (0.0108),,,,,,,,,,
sale (0.0075),regalo (0.0142),parece (0.0079),compré (0.0122),precio (0.0116),devolución (0.0094),precio (0.0165),cápsulas (0.0198),sale (0.0154),diseño (0.0100),,,,,,,,,,
bastante (0.0073),perfecto (0.0140),uso (0.0078),mejor (0.0121),variedad (0.0113),recomiendo (0.0091),ocupa (0.0162),nespresso (0.0184),caja (0.0112),genial (0.0094),,,,,,,,,,
gusta (0.0069),llegó (0.0139),vez (0.0075),años (0.0105),marcas (0.0112),después (0.0083),bueno (0.0156),compra (0.0145),funciona (0.0087),gustado (0.0084),,,,,,,,,,
cafés (0.0069),cápsulas (0.0137),funciona (0.0072),anterior (0.0103),comprar (0.0100),solución (0.0079),espacio (0.0155),sabor (0.0124),uso (0.0084),pequeña (0.0082),,,,,,,,,,
cantidad (0.0068),rápido (0.0136),modelo (0.0065),perfectamente (0.0101),tassimo (0.0100),capsulas (0.0079),limpiar (0.0143),capsulas (0.0103),nespresso (0.0076),menos (0.0080),,,,,,,,,,
puede (0.0066),buen (0.0122),comprado (0.0062),igual (0.0097),cápsula (0.0099),vez (0.0078),facil (0.0132),uso (0.0098),usada (0.0067),bonito (0.0078),,,,,,,,,,
