Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
cápsula (0.0168),fácil (0.0630),funciona (0.0307),funciona (0.0152),gusto (0.0231),gusta (0.0226),uso (0.0122),producto (0.0573),q (0.0201),cápsulas (0.0458),,,,,,,,,,
ma (0.0151),usar (0.0432),años (0.0173),llegó (0.0113),cápsulas (0.0172),cápsulas (0.0180),cápsulas (0.0111),caja (0.0328),sale (0.0148),marca (0.0137),,,,,,,,,,
cápsulas (0.0143),precio (0.0418),segunda (0.0151),sale (0.0108),cafés (0.0143),sale (0.0177),depósito (0.0076),cápsulas (0.0226),capsulas (0.0128),nespresso (0.0135),,,,,,,,,,
capsulas (0.0123),buen (0.0380),gustado (0.0122),caja (0.0106),dolce (0.0139),hacer (0.0157),cualquier (0.0074),regalo (0.0224),capsula (0.0094),cápsula (0.0085),,,,,,,,,,
sola (0.0101),buena (0.0335),cápsulas (0.0108),uso (0.0098),usar (0.0112),sabor (0.0145),hacer (0.0072),viene (0.0141),hacer (0.0093),gusto (0.0083),,,,,,,,,,
poner (0.0091),calidad (0.0293),igual (0.0106),recomiendo (0.0094),ma (0.0110),caliente (0.0126),calidad (0.0071),buen (0.0112),bueno (0.0081),depósito (0.0080),,,,,,,,,,
grande (0.0081),limpiar (0.0174),modelo (0.0099),mal (0.0092),sale (0.0109),problema (0.0087),tener (0.0070),llegado (0.0105),botón (0.0080),bastante (0.0078),,,,,,,,,,
tapa (0.0080),compra (0.0151),menos (0.0098),después (0.0085),solo (0.0108),cafés (0.0086),bastante (0.0061),comprar (0.0098),gusta (0.0079),sabor (0.0071),,,,,,,,,,
vez (0.0077),pequeña (0.0140),compré (0.0091),instrucciones (0.0083),momento (0.0091),cápsula (0.0081),puede (0.0061),compra (0.0088),facil (0.0079),bueno (0.0070),,,,,,,,,,
cuesta (0.0075),bueno (0.0136),dia (0.0071),devolución (0.0081),capsulas (0.0090),capsulas (0.0075),cafés (0.0061),descuento (0.0083),ruidosa (0.0078),pega (0.0070),,,,,,,,,,
