Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
ma (0.0131),cápsulas (0.0289),usar (0.0400),caja (0.0360),q (0.0273),cápsula (0.0144),buen (0.0362),cápsula (0.0184),cápsulas (0.0174),cápsulas (0.0296),,,,,,,,,,
hacer (0.0105),gusto (0.0251),cápsulas (0.0391),funciona (0.0293),cápsulas (0.0165),cápsulas (0.0123),precio (0.0299),cápsulas (0.0169),cápsula (0.0114),uso (0.0103),,,,,,,,,,
grande (0.0093),dolce (0.0188),fácil (0.0373),servicio (0.0134),precio (0.0091),hacer (0.0107),buena (0.0274),producto (0.0112),depósito (0.0102),comprar (0.0097),,,,,,,,,,
capsulas (0.0091),nespresso (0.0145),capsulas (0.0252),llegó (0.0132),uso (0.0087),buena (0.0083),fácil (0.0270),plástico (0.0104),bebidas (0.0093),día (0.0088),,,,,,,,,,
menos (0.0088),sabor (0.0137),marca (0.0236),producto (0.0126),euro (0.0062),producto (0.0076),calidad (0.0218),después (0.0082),cafés (0.0089),sale (0.0083),,,,,,,,,,
cápsulas (0.0078),sale (0.0137),gusta (0.0175),regalo (0.0121),capsulas (0.0061),marca (0.0070),usar (0.0201),tapa (0.0080),poder (0.0081),después (0.0078),,,,,,,,,,
va (0.0076),hacer (0.0120),sale (0.0172),ruido (0.0100),puede (0.0060),sabor (0.0068),perfecto (0.0154),sale (0.0077),puede (0.0080),años (0.0073),,,,,,,,,,
largo (0.0075),molido (0.0102),precio (0.0141),mal (0.0096),cuenta (0.0056),precio (0.0066),funciona (0.0146),uso (0.0077),cantidad (0.0078),nespresso (0.0073),,,,,,,,,,
depósito (0.0075),cafés (0.0101),facil (0.0124),segunda (0.0082),así (0.0055),solo (0.0063),perfecta (0.0136),lleva (0.0069),taza (0.0077),parece (0.0073),,,,,,,,,,
botón (0.0074),variedad (0.0086),limpiar (0.0104),funcionaba (0.0077),marca (0.0054),nespresso (0.0063),compra (0.0128),funciona (0.0068),temperatura (0.0067),año (0.0072),,,,,,,,,,
