Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
fácil (0.0554),funciona (0.0687),mal (0.0128),tamaño (0.0189),cápsulas (0.0212),cápsulas (0.0485),caja (0.0350),cumple (0.0181),cápsulas (0.0323),hacer (0.0113),,,,,,,,,,
usar (0.0527),sale (0.0326),igual (0.0116),diseño (0.0173),q (0.0143),variedad (0.0214),producto (0.0324),perfecto (0.0151),cápsula (0.0148),caliente (0.0110),,,,,,,,,,
buena (0.0355),ruido (0.0210),funcionar (0.0109),espacio (0.0170),años (0.0109),precio (0.0200),regalo (0.0209),precio (0.0130),nespresso (0.0111),sale (0.0107),,,,,,,,,,
compra (0.0242),capsulas (0.0204),servicio (0.0109),depósito (0.0155),marca (0.0101),marca (0.0198),funciona (0.0176),calidad (0.0127),molido (0.0094),solo (0.0094),,,,,,,,,,
precio (0.0203),después (0.0137),comprar (0.0084),ocupa (0.0150),uso (0.0098),capsulas (0.0161),cápsulas (0.0171),función (0.0107),hacer (0.0082),cápsula (0.0087),,,,,,,,,,
calidad (0.0163),veces (0.0134),esperaba (0.0079),grande (0.0137),hacer (0.0095),gusta (0.0160),buen (0.0167),capsulas (0.0104),sale (0.0079),gusta (0.0087),,,,,,,,,,
buen (0.0153),vez (0.0119),año (0.0079),pequeña (0.0120),sabor (0.0079),tassimo (0.0142),llegó (0.0136),funciona (0.0099),cafés (0.0074),parece (0.0085),,,,,,,,,,
limpiar (0.0145),bonita (0.0102),vendedor (0.0074),encanta (0.0113),después (0.0076),gusto (0.0139),perfecta (0.0113),depósito (0.0099),sabor (0.0072),va (0.0083),,,,,,,,,,
facil (0.0130),gusta (0.0097),nueva (0.0073),pequeño (0.0109),cafés (0.0074),caras (0.0134),llegado (0.0102),uso (0.0092),usar (0.0065),siempre (0.0074),,,,,,,,,,
contenta (0.0103),cápsula (0.0095),mismo (0.0073),taza (0.0107),solo (0.0068),ma (0.0128),viene (0.0095),buenos (0.0078),gusto (0.0062),luego (0.0073),,,,,,,,,,
