Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
capsulas (6),cápsulas (8),cápsulas (6),cápsulas (5),cápsulas (8),cápsulas (6),cápsulas (6),cápsulas (9),cápsulas (7),cápsulas (7)
cápsulas (6),sale (5),funciona (5),funciona (4),uso (4),capsulas (5),buen (5),funciona (6),sale (5),sale (5)
hacer (5),capsulas (4),cafés (4),sale (4),gusto (4),gusta (4),funciona (4),usar (4),cápsula (5),nespresso (5)
sale (4),sabor (4),precio (4),caja (3),marca (4),cápsula (4),fácil (4),precio (4),gusto (5),hacer (3)
cápsula (4),funciona (4),sale (3),llegó (3),precio (3),sale (4),usar (4),producto (4),nespresso (4),funciona (3)
ma (3),fácil (3),marca (3),segunda (3),dolce (3),hacer (3),precio (4),sabor (3),gusta (4),uso (3)
grande (3),usar (3),capsulas (3),uso (3),sale (3),ma (3),sale (3),buen (3),precio (3),comprar (3)
depósito (3),bueno (3),modelo (3),producto (2),sabor (3),ruido (3),producto (3),uso (3),calidad (3),parece (3)
gusta (3),limpiar (3),años (3),regalo (2),q (3),cafés (3),uso (3),cápsula (2),buen (3),marca (3)
q (2),marca (3),nespresso (2),perfecto (2),cápsula (3),funciona (3),perfecta (3),problema (2),producto (3),depósito (3)
