Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
sale (0.0579),precio (0.0335),funciona (0.0386),años (0.0164),caja (0.0306),fácil (0.0488),funciona (0.0126),cápsulas (0.0289),cápsulas (0.0341),cápsulas (0.0167),,,,,,,,,,
q (0.0302),buena (0.0304),ruido (0.0206),cafés (0.0134),regalo (0.0207),usar (0.0442),producto (0.0107),cafés (0.0113),nespresso (0.0130),cápsula (0.0157),,,,,,,,,,
caliente (0.0190),calidad (0.0276),ruidosa (0.0141),perfecta (0.0130),capsulas (0.0132),limpiar (0.0143),problema (0.0088),hacer (0.0101),sale (0.0129),uso (0.0141),,,,,,,,,,
gusta (0.0179),cápsulas (0.0252),bastante (0.0129),segunda (0.0122),viene (0.0113),cápsulas (0.0135),después (0.0088),variedad (0.0095),sabor (0.0126),sabor (0.0107),,,,,,,,,,
hacer (0.0177),marca (0.0236),cápsulas (0.0116),perfecto (0.0122),parece (0.0102),pequeña (0.0106),vez (0.0084),usar (0.0085),precio (0.0123),diseño (0.0105),,,,,,,,,,
bueno (0.0173),buen (0.0204),buen (0.0115),anterior (0.0115),instrucciones (0.0099),ma (0.0099),días (0.0082),cualquier (0.0079),gusto (0.0121),marca (0.0097),,,,,,,,,,
capsulas (0.0147),compra (0.0179),precio (0.0104),va (0.0112),producto (0.0095),bueno (0.0088),funcionar (0.0074),poder (0.0074),producto (0.0119),día (0.0089),,,,,,,,,,
cápsulas (0.0115),blanca (0.0112),nespresso (0.0100),compré (0.0110),cápsulas (0.0093),facil (0.0082),uso (0.0071),tamaño (0.0072),buen (0.0110),nespresso (0.0087),,,,,,,,,,
rico (0.0110),contento (0.0107),gusta (0.0098),modelo (0.0109),mal (0.0090),tamaño (0.0075),año (0.0071),tener (0.0069),calidad (0.0101),hacer (0.0081),,,,,,,,,,
gusto (0.0110),excelente (0.0101),capsulas (0.0088),compro (0.0103),gusto (0.0085),depósito (0.0071),veces (0.0070),bebidas (0.0065),dolce (0.0092),sistema (0.0077),,,,,,,,,,
