Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
caja (0.0336),sale (0.0162),calidad (0.0303),cápsulas (0.0318),cápsulas (0.0414),sale (0.0198),buen (0.0232),fácil (0.0531),sale (0.0123),cápsulas (0.0269),,,,,,,,,,
producto (0.0187),capsulas (0.0144),buena (0.0294),cafés (0.0152),gusto (0.0210),gusta (0.0185),producto (0.0204),usar (0.0463),capsulas (0.0117),funciona (0.0165),,,,,,,,,,
q (0.0186),botón (0.0141),precio (0.0255),pega (0.0106),nespresso (0.0175),diseño (0.0168),uso (0.0144),limpiar (0.0151),ma (0.0101),años (0.0091),,,,,,,,,,
regalo (0.0109),caliente (0.0101),cápsulas (0.0231),demás (0.0101),precio (0.0162),tamaño (0.0167),funciona (0.0140),sabor (0.0146),cápsula (0.0100),vez (0.0082),,,,,,,,,,
llegó (0.0105),sola (0.0097),marca (0.0199),fácil (0.0093),dolce (0.0133),ruido (0.0160),encanta (0.0127),cápsulas (0.0139),hacer (0.0098),uso (0.0077),,,,,,,,,,
mal (0.0101),cantidad (0.0093),variedad (0.0132),usar (0.0091),caras (0.0127),perfecto (0.0132),perfecta (0.0122),funciona (0.0117),solo (0.0089),nespresso (0.0070),,,,,,,,,,
devolución (0.0100),cápsula (0.0087),capsulas (0.0125),hacer (0.0082),sale (0.0119),modelo (0.0131),solo (0.0101),buen (0.0105),cápsulas (0.0083),comprar (0.0067),,,,,,,,,,
funciona (0.0094),bastante (0.0086),cafés (0.0100),puede (0.0081),molido (0.0097),depósito (0.0129),casa (0.0099),pequeña (0.0094),gusto (0.0078),problema (0.0060),,,,,,,,,,
ahora (0.0078),cápsulas (0.0084),buen (0.0083),uso (0.0080),parece (0.0089),grande (0.0129),contenta (0.0099),precio (0.0091),bueno (0.0078),parece (0.0056),,,,,,,,,,
así (0.0075),capsula (0.0081),compra (0.0080),única (0.0077),sabor (0.0086),funciona (0.0121),después (0.0099),bueno (0.0088),largo (0.0076),menos (0.0055),,,,,,,,,,
