Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
espacio (0.0246),fácil (0.0448),cápsulas (0.0364),funciona (0.0284),cápsulas (0.0299),gusta (0.0149),depósito (0.0138),cápsulas (0.0141),precio (0.0341),sale (0.0263),,,,,,,,,,
ocupa (0.0219),usar (0.0436),nespresso (0.0106),caja (0.0284),genial (0.0128),hacer (0.0125),cápsula (0.0118),cápsula (0.0109),calidad (0.0296),capsulas (0.0207),,,,,,,,,,
encanta (0.0207),cápsulas (0.0203),sale (0.0100),producto (0.0221),uso (0.0123),gusto (0.0123),cumple (0.0115),funciona (0.0107),cápsulas (0.0269),caliente (0.0142),,,,,,,,,,
perfecta (0.0141),bueno (0.0147),cápsula (0.0094),regalo (0.0172),demás (0.0108),cápsula (0.0123),cápsulas (0.0104),problema (0.0106),buen (0.0268),solo (0.0124),,,,,,,,,,
capsulas (0.0140),capsulas (0.0131),cafés (0.0088),llegó (0.0143),va (0.0108),ma (0.0121),sale (0.0092),ruidosa (0.0102),buena (0.0264),hacer (0.0103),,,,,,,,,,
color (0.0107),limpiar (0.0128),molido (0.0086),segunda (0.0092),práctica (0.0086),ruido (0.0092),verdad (0.0086),gustado (0.0100),producto (0.0113),funcionar (0.0091),,,,,,,,,,
plástico (0.0101),marca (0.0116),hacer (0.0081),llegado (0.0085),menos (0.0084),botón (0.0088),caliente (0.0079),capacidad (0.0090),diseño (0.0110),sistema (0.0087),,,,,,,,,,
pequeña (0.0096),sabor (0.0115),vez (0.0068),perfecto (0.0080),toda (0.0079),cafés (0.0082),poner (0.0076),sabor (0.0083),compra (0.0103),funciona (0.0069),,,,,,,,,,
cocina (0.0091),sale (0.0115),menos (0.0065),devolución (0.0080),aunque (0.0077),grande (0.0078),cantidad (0.0070),nespresso (0.0082),nespresso (0.0097),anterior (0.0064),,,,,,,,,,
queda (0.0087),q (0.0098),así (0.0058),viene (0.0077),hecho (0.0073),buena (0.0077),vez (0.0070),depósito (0.0080),gusta (0.0096),siempre (0.0059),,,,,,,,,,
