Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
cápsulas (0.0267),fácil (0.0521),funciona (0.0367),cápsulas (0.0319),años (0.0171),caja (0.0141),cápsulas (0.0196),sola (0.0123),calidad (0.0398),sale (0.0237),,,,,,,,,,
diseño (0.0178),usar (0.0441),ruido (0.0231),único (0.0110),modelo (0.0166),cápsulas (0.0107),cápsula (0.0151),buena (0.0115),precio (0.0394),gusto (0.0202),,,,,,,,,,
tamaño (0.0136),cápsulas (0.0367),depósito (0.0171),sale (0.0085),servicio (0.0129),capsulas (0.0083),q (0.0120),producto (0.0112),buen (0.0340),capsulas (0.0177),,,,,,,,,,
grande (0.0094),bueno (0.0175),pega (0.0154),cápsula (0.0070),funciona (0.0116),problema (0.0080),hacer (0.0099),botón (0.0105),buena (0.0290),sabor (0.0146),,,,,,,,,,
cafés (0.0089),variedad (0.0174),va (0.0139),demás (0.0070),compra (0.0097),solo (0.0078),solo (0.0085),hacer (0.0096),producto (0.0171),cápsulas (0.0140),,,,,,,,,,
depósito (0.0075),gusta (0.0161),genial (0.0139),ruido (0.0063),menos (0.0091),nespresso (0.0077),sale (0.0082),mejor (0.0092),compra (0.0163),dolce (0.0125),,,,,,,,,,
gusta (0.0073),marca (0.0141),única (0.0112),uso (0.0063),anterior (0.0087),sale (0.0077),bastante (0.0072),maquina (0.0089),perfecto (0.0125),nespresso (0.0125),,,,,,,,,,
hacer (0.0069),sale (0.0127),pequeño (0.0105),va (0.0061),uso (0.0084),uso (0.0076),cafés (0.0071),viene (0.0080),regalo (0.0123),vez (0.0116),,,,,,,,,,
bonito (0.0068),sabor (0.0122),pequeña (0.0092),problema (0.0059),tiempo (0.0083),da (0.0076),gusto (0.0068),cápsulas (0.0079),caja (0.0123),comprar (0.0094),,,,,,,,,,
cápsula (0.0065),limpiar (0.0115),ruidosa (0.0086),caras (0.0058),ahora (0.0082),producto (0.0075),veces (0.0064),usar (0.0074),perfecta (0.0098),ma (0.0088),,,,,,,,,,
