Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
sale (0.0191),capsulas (0.0112),sale (0.0254),cápsulas (0.0242),cápsulas (0.0324),caja (0.0295),cápsulas (0.0346),fácil (0.0585),grande (0.0123),cápsulas (0.0422),,,,,,,,,,
cápsula (0.0104),cafés (0.0101),modelo (0.0180),capsulas (0.0143),gusto (0.0148),producto (0.0203),precio (0.0338),usar (0.0542),gusta (0.0115),funciona (0.0246),,,,,,,,,,
veces (0.0098),nespresso (0.0094),años (0.0147),ma (0.0132),cápsula (0.0138),funciona (0.0146),buen (0.0262),q (0.0211),depósito (0.0110),rápido (0.0114),,,,,,,,,,
va (0.0090),funciona (0.0089),anterior (0.0104),nespresso (0.0127),hacer (0.0121),día (0.0127),buena (0.0246),gusta (0.0210),cápsula (0.0095),sale (0.0105),,,,,,,,,,
capsulas (0.0086),bastante (0.0088),ahora (0.0100),menos (0.0101),sabor (0.0111),devolución (0.0104),calidad (0.0240),limpiar (0.0202),cápsulas (0.0094),perfecta (0.0099),,,,,,,,,,
caliente (0.0083),sistema (0.0085),botón (0.0089),solo (0.0090),solo (0.0093),regalo (0.0099),variedad (0.0173),bueno (0.0146),taza (0.0090),producto (0.0096),,,,,,,,,,
problema (0.0081),cápsulas (0.0084),sabor (0.0087),tassimo (0.0089),dolce (0.0092),comprar (0.0091),fácil (0.0128),funciona (0.0143),puede (0.0076),cumple (0.0095),,,,,,,,,,
vez (0.0077),hacer (0.0081),tassimo (0.0087),pena (0.0081),marca (0.0086),uso (0.0089),cafés (0.0114),facil (0.0137),además (0.0075),marca (0.0090),,,,,,,,,,
depósito (0.0074),uso (0.0079),cafés (0.0082),gusta (0.0081),vez (0.0084),llegó (0.0089),compra (0.0098),precio (0.0128),diseño (0.0073),perfecto (0.0088),,,,,,,,,,
tiempo (0.0070),capsula (0.0077),largo (0.0082),primera (0.0081),cada (0.0081),segunda (0.0083),usar (0.0097),cápsulas (0.0124),cualquier (0.0071),depósito (0.0086),,,,,,,,,,
