Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
ma (0.0108),cafés (0.0132),servicio (0.0125),calidad (0.0076),sale (0.0162)
así (0.0081),usar (0.0087),después (0.0085),hacer (0.0074),buena (0.0138)
cada (0.0079),además (0.0079),marca (0.0083),buen (0.0074),buen (0.0125)
hacer (0.0078),bueno (0.0073),años (0.0082),molido (0.0070),bueno (0.0103)
sale (0.0075),solo (0.0060),veces (0.0073),cápsulas (0.0064),hacer (0.0098)
