Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
buen (0.0284),cápsulas (0.0185),cápsula (0.0089),precio (0.0399),servicio (0.0119),cápsulas (0.0295),hacer (0.0153),caja (0.0365),cápsulas (0.0479),usar (0.0486)
diseño (0.0257),nespresso (0.0117),hacer (0.0088),cápsulas (0.0315),problema (0.0114),nespresso (0.0104),capsulas (0.0147),funciona (0.0335),marca (0.0339),fácil (0.0484)
modelo (0.0238),cápsula (0.0090),caliente (0.0085),años (0.0114),ahora (0.0103),uso (0.0098),sale (0.0104),producto (0.0180),fácil (0.0237),calidad (0.0480)
espacio (0.0198),así (0.0082),después (0.0081),funciona (0.0098),funciona (0.0099),depósito (0.0092),depósito (0.0087),regalo (0.0146),usar (0.0220),precio (0.0442)
ocupa (0.0188),sistema (0.0076),perfecto (0.0080),cápsula (0.0096),mismo (0.0097),bastante (0.0089),taza (0.0087),perfecta (0.0135),gusta (0.0174),gusto (0.0230)
tamaño (0.0175),tassimo (0.0072),cápsulas (0.0075),menos (0.0094),producto (0.0093),además (0.0088),capsula (0.0087),llegó (0.0118),variedad (0.0167),buena (0.0205)
encanta (0.0146),sabor (0.0064),aguado (0.0069),botón (0.0086),parece (0.0090),capacidad (0.0074),cápsula (0.0082),ruido (0.0115),cafés (0.0164),dolce (0.0196)
fácil (0.0145),solo (0.0051),espuma (0.0067),producto (0.0085),comprar (0.0087),gusto (0.0074),grande (0.0069),momento (0.0107),bueno (0.0133),buen (0.0190)
sabor (0.0136),funciona (0.0051),capsulas (0.0040),uso (0.0084),compré (0.0085),cualquier (0.0071),demasiado (0.0069),perfectamente (0.0089),puedes (0.0113),mejor (0.0173)
cumple (0.0127),instrucciones (0.0050),sale (0.0023),solo (0.0082),q (0.0005),cada (0.0069),ma (0.0028),va (0.0026),sale (0.0030),facil (0.0137)
