Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
cápsulas (0.0197),funciona (0.0239),fácil (0.0254),buen (0.0098),cápsulas (0.0391)
cápsula (0.0096),caja (0.0202),usar (0.0231),uso (0.0092),sale (0.0132)
q (0.0090),producto (0.0132),gusto (0.0117),cápsulas (0.0086),precio (0.0253)
segunda (0.0073),ruido (0.0131),capsulas (0.0113),problema (0.0079),marca (0.0098)
vez (0.0060),llegó (0.0108),precio (0.0113),calidad (0.0075),buena (0.0082)
