Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
funciona (0.0890),marca (0.0539),servicio (0.0909),además (0.0095),fácil (0.0180),q (0.0158),después (0.0091),vez (0.0086),contenta (0.0135),precio (0.0346)
hacer (0.0071),cecotec (0.0137),técnico (0.0117),cafés (0.0094),cafés (0.0148),limpieza (0.0135),molido (0.0083),presión (0.0071),sale (0.0108),buen (0.0148)
instrucciones (0.0063),segunda (0.0114),veces (0.0105),tener (0.0069),sale (0.0140),uso (0.0129),cafés (0.0080),uso (0.0069),gusta (0.0102),calidad (0.0146)
mal (0.0061),compre (0.0113),siemens (0.0099),grano (0.0067),usar (0.0137),cada (0.0098),molinillo (0.0070),filtro (0.0060),funciona (0.0086),buena (0.0096)
maquina (0.0055),nueva (0.0112),garantía (0.0097),molido (0.0066),buen (0.0126),bueno (0.0085),mejor (0.0065),bueno (0.0057),compra (0.0079),cafés (0.0080)
ma (0.0054),servicio (0.0106),después (0.0095),vez (0.0063),espuma (0.0101),sale (0.0078),vez (0.0063),poner (0.0056),recomiendo (0.0068),bastante (0.0079)
espumador (0.0050),caja (0.0102),reparación (0.0085),depósito (0.0062),buena (0.0088),además (0.0069),cápsulas (0.0060),tazas (0.0055),mucha (0.0067),hacer (0.0070)
problema (0.0049),mismo (0.0097),año (0.0080),limpieza (0.0061),limpiar (0.0080),deposito (0.0068),cantidad (0.0058),tiempo (0.0053),parece (0.0067),solo (0.0063)
solo (0.0048),años (0.0096),producto (0.0074),puedes (0.0061),gusta (0.0071),vez (0.0066),hacer (0.0032),hacer (0.0042),llevo (0.0066),bueno (0.0063)
sale (0.0042),primera (0.0096),comprar (0.0072),cada (0.0004),hacer (0.0015),hacer (0.0004),sale (0.0018),sale (0.0020),caliente (0.0066),marca (0.0061)
