title,rating,body,author,date
Nada recomendable,"2,0 de 5 estrellas",No me ha gustado nada. A mitad de preparación se empieza a salir el agua. El cafe sale más aguado de lo normal aunque disminuya la carga de agua.,Almudena,Revisado en España el 2 de febrero de 2021
Cazoleta de café un poco pequeña,"3,0 de 5 estrellas","Le pongo solo tres estrellas porque tiene una cazoleta de café demasiado pequeña para la capacidad de líquido. A mi me gusta hacer el café fuerte, pero la cantidad de café que puedo poner corresponde para mi gusto solo a 8 tazas grandes, cuando la cafetera tiene un depósito para 12. Con lo grande que es la parte de arriba, creo que podía haber cabido una cazoleta más grande.",Jesús,Revisado en España el 5 de agosto de 2020
Que no salga el cafe,"1,0 de 5 estrellas",Por que hace ruido cuando se pone botón rojo y otra cosa lo programas y cuando ya está la hora se pone en marcha y no sale el agua ni el café y lleva más de media hora y no sale,carmen r.,Revisado en España el 28 de diciembre de 2019
Muy bien,"5,0 de 5 estrellas",Perfecta. Buen café y fácil de usar. La jarra grande que es lo que quería.,Mercedes,Revisado en España el 9 de junio de 2019
Publicidad engañosa,"1,0 de 5 estrellas","No cumple con lo dicho en la web no es de 1,8 litros de capacidad en realidad es de 1,5 litros",Cliente Madrid,Revisado en España el 28 de junio de 2018
Rapida y comoda,"5,0 de 5 estrellas","Buena cafetera, con gran capacidad y rapida haciendo el cafe, ademas de estetica al ser del color del acero pulido que va a juego con el resto de los electrodomesticos.",Alexia,Revisado en España el 25 de noviembre de 2023
"Buena calidad-precio, fácil manejo","5,0 de 5 estrellas",Fácil manejo y fácil de limpiar,Paris,Revisado en España el 30 de diciembre de 2022
Buen funcionamiento y diseño,"4,0 de 5 estrellas",Para cafe facil de usar.,Amparo H.,Revisado en España el 14 de julio de 2021
Café tipo americano.,"5,0 de 5 estrellas","Es buena cafetera, pero no esperéis café fuerte, ya que este no es su propósito, es parecido al café americano, eso si, se programa y deja el café caliente, hasta que te lo tomes.",Deivid,Revisado en España el 30 de abril de 2021
Cafetera para los muy cafeteros,"5,0 de 5 estrellas","cafetera para los muy cafeteros doce tazas programable y bueno
Es de los aparatos calidad precio que vale la pena",ignasi capell,Revisado en España el 20 de noviembre de 2021
Prática e funcional,"4,0 de 5 estrellas",Muy bueno e com funcionems extra,Manuel Pereira,Revisado en España el 13 de marzo de 2021
