Topic 0,Topic 1,Topic 2
cafés (0.0092),servicio (0.0106),sale (0.0171)
cada (0.0092),producto (0.0073),hacer (0.0105)
molido (0.0077),marca (0.0069),buen (0.0092)
calidad (0.0072),después (0.0068),bueno (0.0085)
limpieza (0.0069),años (0.0062),cafés (0.0073)
además (0.0063),vez (0.0060),espuma (0.0066)
grano (0.0060),ahora (0.0057),buena (0.0058)
buena (0.0059),problema (0.0056),usar (0.0057)
vez (0.0058),técnico (0.0056),caliente (0.0055)
fácil (0.0058),uso (0.0056),mejor (0.0054)
