Topic 0,Topic 1
calidad (0.2873),calidad (0.5622)
fácil (0.2750),precio (0.3901)
buen (0.2645),relación (0.1425)
precio (0.2231),producto (0.1279)
usar (0.2097),buen (0.0933)
sale (0.1661),excelente (0.0461)
limpiar (0.1546),mala (0.0446)
funciona (0.1494),materiales (0.0409)
producto (0.1487),cumple (0.0260)
bueno (0.1250),plástico (0.0218)
