Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
hacer (0.0102),servicio (0.0140),cada (0.0082),sale (0.0178),calidad (0.0102)
cafés (0.0090),después (0.0090),hacer (0.0081),bueno (0.0122),además (0.0090)
buen (0.0088),técnico (0.0082),vez (0.0070),ma (0.0096),cafés (0.0087)
espuma (0.0072),años (0.0079),sale (0.0067),buen (0.0095),uso (0.0070)
buena (0.0068),problema (0.0074),uso (0.0058),fácil (0.0094),precio (0.0067)
cápsulas (0.0059),marca (0.0074),limpieza (0.0054),mucha (0.0079),buena (0.0064)
tener (0.0052),producto (0.0074),maquina (0.0050),usar (0.0079),fácil (0.0063)
sale (0.0052),funciona (0.0069),así (0.0049),cada (0.0076),puede (0.0062)
tazas (0.0050),ahora (0.0067),veces (0.0045),cafés (0.0075),grano (0.0059)
tiempo (0.0050),segunda (0.0066),día (0.0044),hacer (0.0074),cada (0.0055)
