Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
espuma (0.0097),uso (0.0086),instrucciones (0.0084),filtro (0.0178),fácil (0.0348)
gusta (0.0085),sale (0.0084),ma (0.0066),tazas (0.0176),buena (0.0302)
hacer (0.0085),después (0.0082),uso (0.0064),jarra (0.0169),calidad (0.0286)
sale (0.0083),funciona (0.0079),sabor (0.0061),caliente (0.0163),buen (0.0240)
buen (0.0072),jarra (0.0075),marca (0.0055),hacer (0.0097),usar (0.0215)
