Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
sale (0.0108),caliente (0.0353),buena (0.0362),calidad (0.0183),filtro (0.0328),sale (0.0200),día (0.0181),uso (0.0164),fácil (0.0822),jarra (0.0270),,,,,,,,,,
inducción (0.0094),hacer (0.0187),funciona (0.0348),acero (0.0110),tazas (0.0261),hacer (0.0136),servicio (0.0140),producto (0.0134),usar (0.0560),cristal (0.0135),,,,,,,,,,
vapor (0.0093),mantiene (0.0178),buen (0.0348),plástico (0.0094),buena (0.0172),espuma (0.0124),uso (0.0112),funcionar (0.0129),limpiar (0.0391),uso (0.0122),,,,,,,,,,
caja (0.0090),minutos (0.0150),precio (0.0222),jarra (0.0089),calidad (0.0163),termo (0.0107),marca (0.0099),años (0.0104),buen (0.0195),ma (0.0088),,,,,,,,,,
funciona (0.0088),hora (0.0128),calidad (0.0216),parte (0.0082),filtros (0.0130),bastante (0.0105),funciona (0.0097),ahora (0.0083),buena (0.0167),menos (0.0087),,,,,,,,,,
instrucciones (0.0080),tiempo (0.0116),cumple (0.0215),tapa (0.0082),precio (0.0126),gusta (0.0100),compré (0.0096),dejado (0.0077),excelente (0.0157),filtro (0.0081),,,,,,,,,,
vez (0.0072),jarra (0.0100),perfecto (0.0209),diseño (0.0079),jarra (0.0123),tener (0.0090),días (0.0096),después (0.0075),calidad (0.0155),plástico (0.0078),,,,,,,,,,
presión (0.0069),después (0.0098),compra (0.0189),parece (0.0074),capacidad (0.0102),caliente (0.0088),producto (0.0093),hacer (0.0073),sabor (0.0150),video (0.0074),,,,,,,,,,
después (0.0068),calentar (0.0088),perfecta (0.0184),mejor (0.0070),relación (0.0101),tipo (0.0088),regalo (0.0091),mismo (0.0070),mejor (0.0148),marca (0.0073),,,,,,,,,,
hacer (0.0061),mañana (0.0084),bueno (0.0171),tiempo (0.0068),posos (0.0092),ma (0.0079),año (0.0089),mal (0.0067),recomiendo (0.0127),anterior (0.0065),,,,,,,,,,
