Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
filtro (0.0221),espuma (0.0333),caliente (0.0164),fácil (0.0512),hacer (0.0150),años (0.0143),cumple (0.0171),funciona (0.0157),calidad (0.0594),excelente (0.0370),,,,,,,,,,
tazas (0.0210),buen (0.0214),jarra (0.0136),usar (0.0297),jarra (0.0107),después (0.0121),gusta (0.0164),mal (0.0146),buena (0.0496),perfecta (0.0261),,,,,,,,,,
goteo (0.0101),producto (0.0203),sale (0.0117),limpiar (0.0231),puede (0.0083),año (0.0118),diseño (0.0155),sale (0.0131),precio (0.0282),perfecto (0.0255),,,,,,,,,,
filtros (0.0097),mejor (0.0135),ma (0.0099),buen (0.0192),botón (0.0070),problema (0.0113),filtro (0.0141),instrucciones (0.0122),acero (0.0139),inducción (0.0200),,,,,,,,,,
jarra (0.0091),pena (0.0124),menos (0.0089),caliente (0.0164),depósito (0.0068),servicio (0.0112),sale (0.0115),producto (0.0108),producto (0.0121),facil (0.0182),,,,,,,,,,
sistema (0.0087),sale (0.0119),sabor (0.0088),bueno (0.0121),filtro (0.0067),uso (0.0104),pega (0.0115),video (0.0106),buen (0.0120),pequeña (0.0161),,,,,,,,,,
cafeteras (0.0084),precio (0.0107),hacer (0.0073),buena (0.0115),tener (0.0060),día (0.0103),función (0.0108),hacer (0.0092),relación (0.0115),usar (0.0115),,,,,,,,,,
papel (0.0080),recomiendo (0.0106),aunque (0.0065),funciona (0.0112),sale (0.0057),marca (0.0102),bastante (0.0105),puedo (0.0088),materiales (0.0112),limpiar (0.0111),,,,,,,,,,
mejor (0.0074),calidad (0.0093),tener (0.0063),sale (0.0110),parte (0.0056),cecotec (0.0100),tazas (0.0100),play (0.0080),termo (0.0109),buen (0.0096),,,,,,,,,,
caliente (0.0068),vale (0.0085),tiempo (0.0060),compra (0.0110),calidad (0.0053),funcionar (0.0088),q (0.0091),llegado (0.0077),compra (0.0103),contento (0.0093),,,,,,,,,,
