Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
sale (0.0311),hacer (0.0135),calidad (0.0221),cumple (0.0219),fácil (0.0523),producto (0.0132),tazas (0.0169),funciona (0.0304),calidad (0.0476),jarra (0.0332),,,,,,,,,,
espuma (0.0228),caliente (0.0102),plástico (0.0165),pequeña (0.0166),buen (0.0378),servicio (0.0115),filtro (0.0166),uso (0.0227),buena (0.0418),caliente (0.0227),,,,,,,,,,
bueno (0.0155),tener (0.0079),deja (0.0129),funciona (0.0138),usar (0.0366),después (0.0112),hacer (0.0115),funcionar (0.0167),precio (0.0234),mantiene (0.0187),,,,,,,,,,
mejor (0.0120),hecho (0.0076),jarra (0.0128),función (0.0135),limpiar (0.0278),cecotec (0.0107),jarra (0.0092),años (0.0158),diseño (0.0178),filtro (0.0155),,,,,,,,,,
calienta (0.0099),sabor (0.0069),filtro (0.0114),tazas (0.0134),calidad (0.0227),día (0.0102),menos (0.0081),año (0.0153),marca (0.0126),tiempo (0.0149),,,,,,,,,,
caliente (0.0096),hora (0.0068),cafeteras (0.0096),perfectamente (0.0131),buena (0.0221),vez (0.0084),poner (0.0077),ma (0.0147),filtro (0.0112),acero (0.0142),,,,,,,,,,
sabor (0.0093),puede (0.0067),uso (0.0096),tamaño (0.0125),compra (0.0201),caja (0.0083),parece (0.0076),compré (0.0114),buen (0.0111),capacidad (0.0126),,,,,,,,,,
gusta (0.0092),puedes (0.0064),sale (0.0093),parece (0.0124),precio (0.0188),días (0.0079),sale (0.0076),dejado (0.0102),bastante (0.0111),fácil (0.0122),,,,,,,,,,
hacer (0.0079),cafés (0.0063),parte (0.0092),sale (0.0111),producto (0.0140),mal (0.0079),aunque (0.0062),correctamente (0.0093),producto (0.0099),cristal (0.0116),,,,,,,,,,
solo (0.0079),casa (0.0062),mejor (0.0091),q (0.0108),excelente (0.0134),problema (0.0073),filtros (0.0061),tiempo (0.0092),materiales (0.0086),práctica (0.0105),,,,,,,,,,
