Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
fácil (0.0577),calidad (0.0176),filtro (0.0208),jarra (0.0171),calidad (0.0155),espuma (0.0262),funciona (0.0155),sale (0.0194),funcionar (0.0170),vez (0.0091),,,,,,,,,,
buena (0.0361),buen (0.0132),tazas (0.0168),caja (0.0118),marca (0.0149),buen (0.0262),problema (0.0123),pequeña (0.0192),hacer (0.0128),servicio (0.0077),,,,,,,,,,
usar (0.0349),mejor (0.0126),hacer (0.0114),cristal (0.0102),jarra (0.0128),funciona (0.0196),funcionaba (0.0101),tazas (0.0143),después (0.0127),producto (0.0076),,,,,,,,,,
calidad (0.0341),precio (0.0125),jarra (0.0107),producto (0.0095),plástico (0.0084),cumple (0.0180),ahora (0.0096),perfecta (0.0143),uso (0.0115),sale (0.0075),,,,,,,,,,
limpiar (0.0297),sale (0.0117),caliente (0.0102),genial (0.0085),q (0.0078),bueno (0.0157),uso (0.0096),color (0.0134),funciona (0.0091),hacer (0.0065),,,,,,,,,,
buen (0.0201),plástico (0.0107),gusta (0.0084),parece (0.0084),solo (0.0077),diseño (0.0136),después (0.0094),mal (0.0091),dejado (0.0084),mal (0.0064),,,,,,,,,,
precio (0.0185),puede (0.0100),filtros (0.0081),funciona (0.0083),parece (0.0076),perfectamente (0.0131),llegó (0.0086),parte (0.0085),día (0.0084),cecotec (0.0063),,,,,,,,,,
caliente (0.0158),toda (0.0093),capacidad (0.0079),perfecta (0.0082),mala (0.0075),hacer (0.0131),día (0.0083),ocupa (0.0083),compré (0.0084),jarra (0.0058),,,,,,,,,,
compra (0.0137),acero (0.0077),goteo (0.0073),mejor (0.0066),comprar (0.0068),perfecto (0.0130),servicio (0.0083),jarra (0.0082),veces (0.0083),mismo (0.0057),,,,,,,,,,
tiempo (0.0126),parece (0.0069),sabor (0.0073),llego (0.0066),cafeteras (0.0064),producto (0.0121),compré (0.0082),posos (0.0081),año (0.0072),uso (0.0057),,,,,,,,,,
