Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
buen (0.0108),hacer (0.0158),sale (0.0204),fácil (0.0544),producto (0.0148),jarra (0.0410),termo (0.0121),bonita (0.0205),buena (0.0647),espuma (0.0195),,,,,,,,,,
hacer (0.0102),vez (0.0111),inducción (0.0129),usar (0.0367),calidad (0.0109),caliente (0.0317),funciona (0.0101),cumple (0.0205),calidad (0.0558),va (0.0184),,,,,,,,,,
diseño (0.0091),espuma (0.0099),tazas (0.0119),limpiar (0.0312),comprar (0.0093),filtro (0.0197),compré (0.0094),funciona (0.0194),buen (0.0428),genial (0.0122),,,,,,,,,,
molido (0.0069),vapor (0.0094),parece (0.0111),filtro (0.0131),problema (0.0091),mantiene (0.0172),sale (0.0093),perfectamente (0.0152),precio (0.0372),funciona (0.0074),,,,,,,,,,
casa (0.0068),después (0.0087),ma (0.0103),tazas (0.0107),uso (0.0088),tazas (0.0159),ahora (0.0085),precio (0.0147),producto (0.0200),rota (0.0071),,,,,,,,,,
puede (0.0068),uso (0.0086),filtro (0.0095),rápida (0.0087),funcionar (0.0087),minutos (0.0116),marca (0.0080),calidad (0.0120),compra (0.0171),vez (0.0067),,,,,,,,,,
tipo (0.0064),calienta (0.0085),solo (0.0092),tamaño (0.0085),día (0.0086),cristal (0.0112),años (0.0072),función (0.0114),excelente (0.0149),llegó (0.0065),,,,,,,,,,
sabor (0.0062),sabor (0.0084),hacer (0.0092),gusta (0.0083),marca (0.0085),tiempo (0.0090),hacer (0.0070),mejor (0.0112),diseño (0.0126),así (0.0065),,,,,,,,,,
cafés (0.0061),sale (0.0077),cafeteras (0.0088),buen (0.0079),después (0.0079),solo (0.0090),año (0.0069),bastante (0.0108),bueno (0.0125),veces (0.0064),,,,,,,,,,
buenos (0.0059),ma (0.0068),funciona (0.0088),hacer (0.0077),mala (0.0076),hacer (0.0086),uso (0.0066),parece (0.0104),perfecto (0.0121),ruido (0.0063),,,,,,,,,,
