Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
filtro (0.0187),caliente (0.0207),fácil (0.0728),ma (0.0090),q (0.0325),uso (0.0125),hacer (0.0120),jarra (0.0587),buena (0.0620),cumple (0.0209),,,,,,,,,,
filtros (0.0103),sale (0.0202),usar (0.0465),caja (0.0087),pequeña (0.0270),producto (0.0122),espuma (0.0100),filtro (0.0188),calidad (0.0610),espuma (0.0194),,,,,,,,,,
hacer (0.0096),hacer (0.0161),limpiar (0.0363),plástico (0.0079),gustado (0.0258),años (0.0120),inducción (0.0088),cristal (0.0177),buen (0.0467),función (0.0128),,,,,,,,,,
jarra (0.0082),pena (0.0106),diseño (0.0127),jarra (0.0066),sale (0.0223),servicio (0.0119),espumador (0.0068),sale (0.0165),precio (0.0396),sabor (0.0101),,,,,,,,,,
goteo (0.0072),bueno (0.0082),tazas (0.0114),filtro (0.0063),tazas (0.0217),año (0.0118),así (0.0067),termo (0.0153),funciona (0.0287),calidad (0.0098),,,,,,,,,,
aunque (0.0072),después (0.0079),facil (0.0100),solo (0.0059),gusta (0.0210),después (0.0116),uso (0.0067),posos (0.0125),producto (0.0240),marca (0.0074),,,,,,,,,,
solo (0.0070),gusta (0.0073),caliente (0.0099),menos (0.0057),bueno (0.0157),funcionar (0.0114),cafés (0.0059),plástico (0.0122),compra (0.0234),cafés (0.0068),,,,,,,,,,
sistema (0.0067),puede (0.0073),ocupa (0.0096),sale (0.0054),encanta (0.0136),funciona (0.0107),queda (0.0057),tazas (0.0111),diseño (0.0153),expectativas (0.0067),,,,,,,,,,
hora (0.0064),mantiene (0.0070),espacio (0.0094),video (0.0052),cafés (0.0133),problema (0.0105),mejor (0.0056),grande (0.0107),excelente (0.0136),comprar (0.0064),,,,,,,,,,
papel (0.0064),minutos (0.0069),rápida (0.0094),parece (0.0048),perfecta (0.0130),ahora (0.0098),sale (0.0053),parte (0.0094),bonita (0.0123),sale (0.0063),,,,,,,,,,
