Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
producto (0.0172),calidad (0.0480),calidad (0.0179),espuma (0.0207),fácil (0.0703),uso (0.0152),filtro (0.0426),funciona (0.0590),caliente (0.0301),puede (0.0087),,,,,,,,,,
jarra (0.0152),buena (0.0348),buena (0.0145),sale (0.0130),buen (0.0443),termo (0.0126),tazas (0.0223),q (0.0342),jarra (0.0135),además (0.0086),,,,,,,,,,
caja (0.0132),precio (0.0307),diseño (0.0142),hacer (0.0125),usar (0.0432),funcionar (0.0123),jarra (0.0197),perfectamente (0.0302),mantiene (0.0131),usar (0.0083),,,,,,,,,,
problema (0.0097),parece (0.0122),buen (0.0131),cafés (0.0086),limpiar (0.0357),años (0.0121),filtros (0.0140),cumple (0.0215),tiempo (0.0130),tazas (0.0080),,,,,,,,,,
llegó (0.0079),perfecta (0.0105),acero (0.0120),calienta (0.0084),buena (0.0284),marca (0.0117),posos (0.0112),ma (0.0205),gusta (0.0119),filtro (0.0079),,,,,,,,,,
cecotec (0.0076),espacio (0.0089),bastante (0.0113),vapor (0.0082),compra (0.0216),funciona (0.0106),depósito (0.0106),esperaba (0.0166),hacer (0.0108),hacer (0.0074),,,,,,,,,,
servicio (0.0072),cafeteras (0.0083),capacidad (0.0099),veces (0.0079),sale (0.0190),inducción (0.0100),papel (0.0103),función (0.0150),hecho (0.0105),depósito (0.0069),,,,,,,,,,
devolución (0.0068),relación (0.0082),gran (0.0090),solo (0.0075),rápido (0.0180),año (0.0097),sale (0.0094),super (0.0129),sale (0.0103),ser (0.0067),,,,,,,,,,
nueva (0.0068),color (0.0080),precio (0.0087),después (0.0074),perfecto (0.0173),después (0.0078),hacer (0.0093),mejor (0.0122),sabor (0.0103),queda (0.0065),,,,,,,,,,
rota (0.0067),diseño (0.0076),materiales (0.0085),calentar (0.0072),bueno (0.0158),compré (0.0077),viene (0.0082),genial (0.0104),hora (0.0093),toda (0.0064),,,,,,,,,,
