Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
sale (0.0234),filtro (0.0346),minutos (0.0118),jarra (0.0280),después (0.0129),tazas (0.0114),servicio (0.0165),producto (0.0147),fácil (0.0757),buena (0.0776),,,,,,,,,,
espuma (0.0229),cumple (0.0288),ma (0.0103),caliente (0.0218),uso (0.0120),filtro (0.0106),recomiendo (0.0104),uso (0.0118),usar (0.0516),calidad (0.0764),,,,,,,,,,
hacer (0.0187),jarra (0.0244),menos (0.0088),mantiene (0.0152),funcionar (0.0111),ser (0.0091),años (0.0102),caja (0.0103),limpiar (0.0393),buen (0.0570),,,,,,,,,,
gusta (0.0158),función (0.0201),melitta (0.0082),tiempo (0.0120),veces (0.0097),cafeteras (0.0089),encantado (0.0092),después (0.0085),perfecto (0.0161),precio (0.0513),,,,,,,,,,
mejor (0.0124),tazas (0.0179),funciona (0.0080),cristal (0.0101),ahora (0.0094),puede (0.0088),técnico (0.0090),vez (0.0078),excelente (0.0154),producto (0.0386),,,,,,,,,,
sabor (0.0120),posos (0.0173),jarra (0.0071),termo (0.0091),día (0.0093),parece (0.0085),producto (0.0089),solo (0.0072),bueno (0.0149),compra (0.0283),,,,,,,,,,
bueno (0.0104),sale (0.0148),filtro (0.0068),filtro (0.0083),días (0.0091),acero (0.0077),calidad (0.0086),hacer (0.0064),buena (0.0122),funciona (0.0236),,,,,,,,,,
caliente (0.0078),funciona (0.0123),hacer (0.0066),calor (0.0063),años (0.0089),inducción (0.0069),llego (0.0085),cecotec (0.0062),uso (0.0114),relación (0.0156),,,,,,,,,,
pega (0.0076),depósito (0.0104),ser (0.0062),hacer (0.0060),problema (0.0088),mejor (0.0067),marca (0.0080),sale (0.0062),genial (0.0113),materiales (0.0135),,,,,,,,,,
cafeteras (0.0074),pequeña (0.0101),deposito (0.0062),calidad (0.0058),funciona (0.0084),diseño (0.0062),video (0.0079),sido (0.0057),facil (0.0112),diseño (0.0135),,,,,,,,,,
