Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
termo (0.0103),jarra (0.0272),compra (0.0122),fácil (0.0588),filtro (0.0271),producto (0.0201),caliente (0.0333),filtro (0.0116),acero (0.0172),uso (0.0194),,,,,,,,,,
hacer (0.0081),cumple (0.0205),buena (0.0114),buena (0.0430),sale (0.0214),servicio (0.0151),espuma (0.0285),puede (0.0093),diseño (0.0155),funciona (0.0162),,,,,,,,,,
filtro (0.0078),función (0.0151),compré (0.0109),usar (0.0400),tazas (0.0167),caja (0.0141),hacer (0.0192),jarra (0.0087),calidad (0.0153),después (0.0158),,,,,,,,,,
toda (0.0070),perfecta (0.0122),funciona (0.0102),buen (0.0400),posos (0.0139),así (0.0106),sale (0.0137),tazas (0.0082),gusta (0.0147),años (0.0154),,,,,,,,,,
jarra (0.0063),mejor (0.0110),calidad (0.0096),calidad (0.0349),jarra (0.0127),rota (0.0093),gusta (0.0118),gusta (0.0072),parece (0.0134),año (0.0131),,,,,,,,,,
instrucciones (0.0053),funciona (0.0110),encantado (0.0093),limpiar (0.0298),hacer (0.0126),devolución (0.0093),tiempo (0.0117),calidad (0.0068),pequeña (0.0128),funcionar (0.0124),,,,,,,,,,
vez (0.0051),filtro (0.0105),regalo (0.0078),precio (0.0277),filtros (0.0124),problema (0.0092),mantiene (0.0113),marca (0.0066),tazas (0.0123),ahora (0.0112),,,,,,,,,,
modelo (0.0050),precio (0.0105),perfecto (0.0073),bueno (0.0154),depósito (0.0102),cecotec (0.0084),q (0.0102),goteo (0.0062),color (0.0115),día (0.0086),,,,,,,,,,
siempre (0.0049),calidad (0.0104),producto (0.0068),compra (0.0150),solo (0.0101),llegó (0.0081),hora (0.0099),sabor (0.0061),inducción (0.0109),sale (0.0085),,,,,,,,,,
pues (0.0049),tiempo (0.0098),encantada (0.0064),diseño (0.0135),papel (0.0082),mala (0.0081),cafés (0.0097),cafeteras (0.0060),capacidad (0.0104),principio (0.0085),,,,,,,,,,
