Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
fácil (0.0610),producto (0.0159),hacer (0.0129),calidad (0.0547),ma (0.0132),sale (0.0102),caliente (0.0369),jarra (0.0266),sale (0.0192),filtro (0.0580),,,,,,,,,,
usar (0.0410),uso (0.0133),sale (0.0095),buena (0.0493),tiempo (0.0126),solo (0.0097),mantiene (0.0209),filtro (0.0107),gustado (0.0155),filtros (0.0268),,,,,,,,,,
limpiar (0.0312),marca (0.0133),solo (0.0076),precio (0.0392),termo (0.0092),plástico (0.0090),tiempo (0.0136),parte (0.0107),funcionar (0.0116),tazas (0.0200),,,,,,,,,,
espuma (0.0218),día (0.0122),vapor (0.0070),buen (0.0379),hacer (0.0086),acero (0.0088),capacidad (0.0131),cristal (0.0099),puede (0.0090),papel (0.0184),,,,,,,,,,
buen (0.0154),años (0.0118),cafés (0.0070),funciona (0.0263),puede (0.0074),inducción (0.0084),jarra (0.0119),tazas (0.0098),precio (0.0076),posos (0.0163),,,,,,,,,,
sabor (0.0149),cecotec (0.0114),calentar (0.0068),producto (0.0213),video (0.0063),hacer (0.0082),gusta (0.0118),depósito (0.0096),menos (0.0075),goteo (0.0153),,,,,,,,,,
sale (0.0144),servicio (0.0108),vez (0.0068),compra (0.0196),menos (0.0060),jarra (0.0076),tener (0.0112),plástico (0.0092),hacer (0.0071),sistema (0.0125),,,,,,,,,,
hacer (0.0123),año (0.0095),así (0.0064),cumple (0.0174),jarra (0.0056),pega (0.0071),mejor (0.0096),tapa (0.0086),días (0.0070),jarra (0.0116),,,,,,,,,,
diseño (0.0099),después (0.0088),uso (0.0061),diseño (0.0147),poder (0.0053),cafeteras (0.0067),hecho (0.0087),toda (0.0079),apaga (0.0069),permanente (0.0089),,,,,,,,,,
bueno (0.0077),ahora (0.0084),q (0.0061),perfecta (0.0140),hora (0.0052),taza (0.0064),buena (0.0087),puede (0.0072),plástico (0.0068),viene (0.0087),,,,,,,,,,
