ID,goods_url,reviews_url
0-000083,https://www.amazon.es/inoxidable-inducci%C3%B3n-Compatible-vitrocer%C3%A1mica-inducci%C3%B3n/dp/B09JC976XN/ref=pd_ci_mcx_pspc_dp_d_2_t_1?pd_rd_w=uDiFQ&content-id=amzn1.sym.f11fe75a-7397-412e-9b90-7e09bf6f5c14&pf_rd_p=f11fe75a-7397-412e-9b90-7e09bf6f5c14&pf_rd_r=B4JTCMW8M8R9XJY7ASS6&pd_rd_wg=tZDCa&pd_rd_r=bdb9fd36-ba2b-47cb-8c0e-e359abc85d69&pd_rd_i=B09JC976XN&th=1,https://www.amazon.es/inoxidable-inducci%C3%B3n-Compatible-vitrocer%C3%A1mica-inducci%C3%B3n/product-reviews/B09JC976XN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
0-000084,https://www.amazon.es/dp/B07Q6VR89Q/ref=sspa_dk_detail_5?pd_rd_i=B07Q6VR89Q&pd_rd_w=bmX11&content-id=amzn1.sym.16e80c5a-02ca-4e26-b568-17a6666ff4f0&pf_rd_p=16e80c5a-02ca-4e26-b568-17a6666ff4f0&pf_rd_r=0WKK4SXS2YAHQD71GZ9W&pd_rd_wg=Y5vaU&pd_rd_r=59ee54c6-f9d0-47d0-9a11-664ef8982142&s=kitchen&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&th=1,https://www.amazon.es/Groenenberg-Cafetera-Espresso-inducci%C3%B3n-Inoxidable/product-reviews/B07Q6VR89Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
0-000085,https://www.amazon.es/dp/B08L7TYYQ8/ref=sspa_dk_detail_4?pd_rd_i=B08L7TYYQ8&pd_rd_w=bmX11&content-id=amzn1.sym.16e80c5a-02ca-4e26-b568-17a6666ff4f0&pf_rd_p=16e80c5a-02ca-4e26-b568-17a6666ff4f0&pf_rd_r=0WKK4SXS2YAHQD71GZ9W&pd_rd_wg=Y5vaU&pd_rd_r=59ee54c6-f9d0-47d0-9a11-664ef8982142&s=kitchen&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&th=1,https://www.amazon.es/Easyworkz-Pedro-Cafetera-inoxidable-inducci%C3%B3n/product-reviews/B08L7TYYQ8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
0-000086,https://www.amazon.es/dp/B0BWYXK72C/ref=sspa_dk_detail_2?pd_rd_i=B0BWYXK72C&pd_rd_w=bmX11&content-id=amzn1.sym.16e80c5a-02ca-4e26-b568-17a6666ff4f0&pf_rd_p=16e80c5a-02ca-4e26-b568-17a6666ff4f0&pf_rd_r=0WKK4SXS2YAHQD71GZ9W&pd_rd_wg=Y5vaU&pd_rd_r=59ee54c6-f9d0-47d0-9a11-664ef8982142&s=kitchen&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&th=1,https://www.amazon.es/Cosumy-Cafetera-Italiana-Inoxidable-Sostenible/product-reviews/B0BWYXK72C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
0-000087,https://www.amazon.es/bonVIVO-Cafetera-Italiana-Inducci%C3%B3n-Inoxidable/dp/B01MT6FGJG/ref=pd_ci_mcx_pspc_dp_d_2_t_1?pd_rd_w=2YArl&content-id=amzn1.sym.f11fe75a-7397-412e-9b90-7e09bf6f5c14&pf_rd_p=f11fe75a-7397-412e-9b90-7e09bf6f5c14&pf_rd_r=X2D8DWN8BSXBE6A1G3FB&pd_rd_wg=tSb8o&pd_rd_r=7347312f-ddc8-4cad-80a2-538e8737eee7&pd_rd_i=B01MT6FGJG&th=1,https://www.amazon.es/bonVIVO-Cafetera-Italiana-Inducci%C3%B3n-Inoxidable/product-reviews/B01MT6FGJG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
0-000088,https://www.amazon.es/CUPERINOX-induccion-vitroceramica-inoxidable-lavavajillas/dp/B00YU2YTTM/ref=pd_ci_mcx_pspc_dp_d_2_t_2?pd_rd_w=2YArl&content-id=amzn1.sym.f11fe75a-7397-412e-9b90-7e09bf6f5c14&pf_rd_p=f11fe75a-7397-412e-9b90-7e09bf6f5c14&pf_rd_r=X2D8DWN8BSXBE6A1G3FB&pd_rd_wg=tSb8o&pd_rd_r=7347312f-ddc8-4cad-80a2-538e8737eee7&pd_rd_i=B00YU2YTTM&th=1,https://www.amazon.es/CUPERINOX-induccion-vitroceramica-inoxidable-lavavajillas/product-reviews/B00YU2YTTM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
0-000089,https://www.amazon.es/dp/B09N3MT5SF/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B09N3MT5SF&pd_rd_w=iDFbR&content-id=amzn1.sym.16e80c5a-02ca-4e26-b568-17a6666ff4f0&pf_rd_p=16e80c5a-02ca-4e26-b568-17a6666ff4f0&pf_rd_r=0C6M8C65JGNK1GJGZWK6&pd_rd_wg=yB2oW&pd_rd_r=b88a48fb-d71b-4015-923f-e728d2c56799&s=kitchen&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy,https://www.amazon.es/Cafetera-Italiana-Inducci%C3%B3n-Inoxidable-Dosificadora/product-reviews/B09N3MT5SF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
0-000090,https://www.amazon.es/Russell-Hobbs-Inspire-Cafetera-programable/dp/B084869RBD/ref=sr_1_103?dib=eyJ2IjoiMSJ9.mhDDd61Aq8pY8EYlI8UdWcn-QP7NK0N8wjJ7QEeY6IqKbjrdyh_VDx5SJya939DPLpM4qCwnQH7KBTOQ7jaEwwx_EI5H-xKNg029pRpA3LpnaxlCy1CvpfchBo0Bj8CDU5vRhiM5Lqa1J3cfXK_FPmeU_RxxCkv2H1oD3odzRGG0ZDWG-VvIwnmgrNvyk9JIaW3No_1G8az3GsDA1p8ok_tV7fK2YrZTgH0RXZkvl-DVJAp4ZFTMsYhgVoTfCWWJ.jIMTuoli1hARwcWdBJ2du58XPWn9yJKkcvSUJ66pFnU&dib_tag=se&qid=1721763249&s=kitchen&sr=1-103,https://www.amazon.es/Russell-Hobbs-Inspire-Cafetera-programable/product-reviews/B084869RBD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
0-000091,https://www.amazon.es/Cafetera-Vaporizador-Orientable-Man%C3%B3metro-Temperatura/dp/B08HSHJ9MM/ref=sr_1_104?dib=eyJ2IjoiMSJ9.mhDDd61Aq8pY8EYlI8UdWcn-QP7NK0N8wjJ7QEeY6IqKbjrdyh_VDx5SJya939DPLpM4qCwnQH7KBTOQ7jaEwwx_EI5H-xKNg029pRpA3LpnaxlCy1CvpfchBo0Bj8CDU5vRhiM5Lqa1J3cfXK_FPmeU_RxxCkv2H1oD3odzRGG0ZDWG-VvIwnmgrNvyk9JIaW3No_1G8az3GsDA1p8ok_tV7fK2YrZTgH0RXZkvl-DVJAp4ZFTMsYhgVoTfCWWJ.jIMTuoli1hARwcWdBJ2du58XPWn9yJKkcvSUJ66pFnU&dib_tag=se&qid=1721763249&s=kitchen&sr=1-104&ufe=app_do%3Aamzn1.fos.5e544547-1f8e-4072-8c08-ed563e39fc7d&th=1,https://www.amazon.es/Cafetera-Vaporizador-Orientable-Man%C3%B3metro-Temperatura/product-reviews/B08HSHJ9MM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
0-000092,https://www.amazon.es/W%C3%ABasy-KFX32-Programable-Vaporizador-Superficie/dp/B08LNMP1TR/ref=pd_ci_mcx_pspc_dp_d_2_t_4?pd_rd_w=Z9Pqs&content-id=amzn1.sym.f11fe75a-7397-412e-9b90-7e09bf6f5c14&pf_rd_p=f11fe75a-7397-412e-9b90-7e09bf6f5c14&pf_rd_r=S0B1N21SY0BPHQMW7K77&pd_rd_wg=aatgx&pd_rd_r=eab86177-e558-441e-bd12-cfae3e5b3a7d&pd_rd_i=B08LNMP1TR,https://www.amazon.es/W%C3%ABasy-KFX32-Programable-Vaporizador-Superficie/product-reviews/B08LNMP1TR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
