Unnamed: 0,ID,goods_url,reviews_url
,1-000000,https://www.amazon.es/Philips-Serie-3300-Cafetera-Superautom%C3%A1tica/dp/B0CDCFH17J/ref=sr_1_5?dib=eyJ2IjoiMSJ9.hm_0gtZLV81iXXXtKmlJBukw1-YLVxl46pozcPTCJEZRyZspar_iwpBR3EVyK5U8HLvWZz3Qmtn8mB3LBO54S8ed-v54It4Uk4xz0w48XkLhIlGEKueoOlq4M-5PRtZuG4BUO8duJHKCxbHdmDp_GfYGniiZBw0DXFanlSBtrWiqW7oCEcTk8JvUrmRftutsXPTxOuuvYaDfE7la4mP84ffjke69eou__qOxUIFkWUbhw0xmxPv6zS837XSYanX71v1dlqenmNc8QK8WLuBsTxt32e0twlbyWWCYniU3uxo.vU_YhbI33x6j3-eUUiyH5BehdoVNq9NU-U5zwwUA3DM&dib_tag=se&qid=1723372286&s=kitchen&sr=1-5,https://www.amazon.es/Philips-Serie-3300-Cafetera-Superautom%C3%A1tica/product-reviews/B0CDCFH17J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
,1-000001,https://www.amazon.es/Philips-Serie-5500-Cafetera-Superautom%C3%A1tica/dp/B0CTCQXZ3G/ref=sr_1_6?dib=eyJ2IjoiMSJ9.hm_0gtZLV81iXXXtKmlJBukw1-YLVxl46pozcPTCJEZRyZspar_iwpBR3EVyK5U8HLvWZz3Qmtn8mB3LBO54S8ed-v54It4Uk4xz0w48XkLhIlGEKueoOlq4M-5PRtZuG4BUO8duJHKCxbHdmDp_GfYGniiZBw0DXFanlSBtrWiqW7oCEcTk8JvUrmRftutsXPTxOuuvYaDfE7la4mP84ffjke69eou__qOxUIFkWUbhw0xmxPv6zS837XSYanX71v1dlqenmNc8QK8WLuBsTxt32e0twlbyWWCYniU3uxo.vU_YhbI33x6j3-eUUiyH5BehdoVNq9NU-U5zwwUA3DM&dib_tag=se&qid=1723372286&s=kitchen&sr=1-6,https://www.amazon.es/Philips-Serie-5500-Cafetera-Superautom%C3%A1tica/product-reviews/B0CTCQXZ3G/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
,1-000002,https://www.amazon.es/Cecotec-Thermoblock-personalizado-Autolimpieza-Vaporizador/dp/B0BQ1HRFMW/ref=sr_1_7?dib=eyJ2IjoiMSJ9.hm_0gtZLV81iXXXtKmlJBukw1-YLVxl46pozcPTCJEZRyZspar_iwpBR3EVyK5U8HLvWZz3Qmtn8mB3LBO54S8ed-v54It4Uk4xz0w48XkLhIlGEKueoOlq4M-5PRtZuG4BUO8duJHKCxbHdmDp_GfYGniiZBw0DXFanlSBtrWiqW7oCEcTk8JvUrmRftutsXPTxOuuvYaDfE7la4mP84ffjke69eou__qOxUIFkWUbhw0xmxPv6zS837XSYanX71v1dlqenmNc8QK8WLuBsTxt32e0twlbyWWCYniU3uxo.vU_YhbI33x6j3-eUUiyH5BehdoVNq9NU-U5zwwUA3DM&dib_tag=se&qid=1723372286&s=kitchen&sr=1-7&th=1,https://www.amazon.es/Cecotec-Thermoblock-personalizado-Autolimpieza-Vaporizador/product-reviews/B0BQ1HRFMW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
,1-000003,https://www.amazon.es/Philips-serie-lattego-ep2231-40/dp/B07MMSWP78/ref=sr_1_8?dib=eyJ2IjoiMSJ9.hm_0gtZLV81iXXXtKmlJBukw1-YLVxl46pozcPTCJEZRyZspar_iwpBR3EVyK5U8HLvWZz3Qmtn8mB3LBO54S8ed-v54It4Uk4xz0w48XkLhIlGEKueoOlq4M-5PRtZuG4BUO8duJHKCxbHdmDp_GfYGniiZBw0DXFanlSBtrWiqW7oCEcTk8JvUrmRftutsXPTxOuuvYaDfE7la4mP84ffjke69eou__qOxUIFkWUbhw0xmxPv6zS837XSYanX71v1dlqenmNc8QK8WLuBsTxt32e0twlbyWWCYniU3uxo.vU_YhbI33x6j3-eUUiyH5BehdoVNq9NU-U5zwwUA3DM&dib_tag=se&qid=1723372286&s=kitchen&sr=1-8,https://www.amazon.es/Philips-serie-lattego-ep2231-40/product-reviews/B07MMSWP78/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
,1-000004,https://www.amazon.es/Sage-Appliances-SES450-Bambino-Stainless/dp/B09713NW8H/ref=sr_1_4?dib=eyJ2IjoiMSJ9.hm_0gtZLV81iXXXtKmlJBukw1-YLVxl46pozcPTCJEZRyZspar_iwpBR3EVyK5U8HLvWZz3Qmtn8mB3LBO54S8ed-v54It4Uk4xz0w48XkLhIlGEKueoOlq4M-5PRtZuG4BUO8duJHKCxbHdmDp_GfYGniiZBw0DXFanlSBtrWiqW7oCEcTk8JvUrmRftutsXPTxOuuvYaDfE7la4mP84ffjke69eou__qOxUIFkWUbhw0xmxPv6zS837XSYanX71v1dlqenmNc8QK8WLuBsTxt32e0twlbyWWCYniU3uxo.vU_YhbI33x6j3-eUUiyH5BehdoVNq9NU-U5zwwUA3DM&dib_tag=se&qid=1723372286&s=kitchen&sr=1-4,https://www.amazon.es/Sage-Appliances-SES450-Bambino-Stainless/product-reviews/B09713NW8H/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
,1-000005,https://www.amazon.es/Delonghi-Dedica-Inoxidable-Cappuccino-Anti-goteo/dp/B06WGTZ874/ref=sr_1_1?dib=eyJ2IjoiMSJ9.hm_0gtZLV81iXXXtKmlJBukw1-YLVxl46pozcPTCJEZRyZspar_iwpBR3EVyK5U8HLvWZz3Qmtn8mB3LBO54S8ed-v54It4Uk4xz0w48XkLhIlGEKueoOlq4M-5PRtZuG4BUO8duJHKCxbHdmDp_GfYGniiZBw0DXFanlSBtrWiqW7oCEcTk8JvUrmRftutsXPTxOuuvYaDfE7la4mP84ffjke69eou__qOxUIFkWUbhw0xmxPv6zS837XSYanX71v1dlqenmNc8QK8WLuBsTxt32e0twlbyWWCYniU3uxo.vU_YhbI33x6j3-eUUiyH5BehdoVNq9NU-U5zwwUA3DM&dib_tag=se&qid=1723372286&s=kitchen&sr=1-1&th=1,https://www.amazon.es/Delonghi-Dedica-Inoxidable-Cappuccino-Anti-goteo/product-reviews/B06WGTZ874/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
,1-000006,https://www.amazon.es/Philips-EP5441-50-Serie-5400/dp/B08CBJCQ39/ref=sr_1_2?dib=eyJ2IjoiMSJ9.hm_0gtZLV81iXXXtKmlJBukw1-YLVxl46pozcPTCJEZRyZspar_iwpBR3EVyK5U8HLvWZz3Qmtn8mB3LBO54S8ed-v54It4Uk4xz0w48XkLhIlGEKueoOlq4M-5PRtZuG4BUO8duJHKCxbHdmDp_GfYGniiZBw0DXFanlSBtrWiqW7oCEcTk8JvUrmRftutsXPTxOuuvYaDfE7la4mP84ffjke69eou__qOxUIFkWUbhw0xmxPv6zS837XSYanX71v1dlqenmNc8QK8WLuBsTxt32e0twlbyWWCYniU3uxo.vU_YhbI33x6j3-eUUiyH5BehdoVNq9NU-U5zwwUA3DM&dib_tag=se&qid=1723372286&s=kitchen&sr=1-2,https://www.amazon.es/Philips-EP5441-50-Serie-5400/product-reviews/B08CBJCQ39/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
,1-000007,https://www.amazon.es/Delonghi-Cafetera-superautom%C3%A1tica-funci%C3%B3n-cappuccino/dp/B01JOYVGFK/ref=sr_1_17?dib=eyJ2IjoiMSJ9.hm_0gtZLV81iXXXtKmlJBukw1-YLVxl46pozcPTCJEZRyZspar_iwpBR3EVyK5U8HLvWZz3Qmtn8mB3LBO54S8ed-v54It4Uk4xz0w48XkLhIlGEKueoOlq4M-5PRtZuG4BUO8duJHKCxbHdmDp_GfYGniiZBw0DXFanlSBtrWiqW7oCEcTk8JvUrmRftutsXPTxOuuvYaDfE7la4mP84ffjke69eou__qOxUIFkWUbhw0xmxPv6zS837XSYanX71v1dlqenmNc8QK8WLuBsTxt32e0twlbyWWCYniU3uxo.vU_YhbI33x6j3-eUUiyH5BehdoVNq9NU-U5zwwUA3DM&dib_tag=se&qid=1723372286&s=kitchen&sr=1-17,https://www.amazon.es/Delonghi-Cafetera-superautom%C3%A1tica-funci%C3%B3n-cappuccino/product-reviews/B01JOYVGFK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
,1-000008,https://www.amazon.es/DeLonghi-ESAM3200S-Plata-1450-220/dp/B000OC4EBK/ref=sr_1_18?dib=eyJ2IjoiMSJ9.hm_0gtZLV81iXXXtKmlJBukw1-YLVxl46pozcPTCJEZRyZspar_iwpBR3EVyK5U8HLvWZz3Qmtn8mB3LBO54S8ed-v54It4Uk4xz0w48XkLhIlGEKueoOlq4M-5PRtZuG4BUO8duJHKCxbHdmDp_GfYGniiZBw0DXFanlSBtrWiqW7oCEcTk8JvUrmRftutsXPTxOuuvYaDfE7la4mP84ffjke69eou__qOxUIFkWUbhw0xmxPv6zS837XSYanX71v1dlqenmNc8QK8WLuBsTxt32e0twlbyWWCYniU3uxo.vU_YhbI33x6j3-eUUiyH5BehdoVNq9NU-U5zwwUA3DM&dib_tag=se&qid=1723372286&s=kitchen&sr=1-18,https://www.amazon.es/DeLonghi-ESAM3200S-Plata-1450-220/product-reviews/B000OC4EBK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
,1-000009,https://www.amazon.es/Graef-ESM802EU-Milegra-1600-Cafetera/dp/B07Z8JLQ73/ref=sr_1_26?dib=eyJ2IjoiMSJ9.U0tJ-wAbmXatDXZol6uOZyJHzwyiagy62c8qgndPDVHCOPfKFaoWzdWtZHIXKccHOAq96WwaEjB8T6ZOQEZEzBXTAK-ktfgGmSkr7_vnCf3WWasIQTWGYbXz0itOqAyYy6Y7R2fQgyaptw8MQ-ZX0KdEq4SVmjum4VC385EFeDnyrsJvW_KJRR8P2mF6VndctXA8SypXZblmgnzJQ_j4OyrB8rtk6l9IPBqNLXHd6kUYZX-kwImFvr2H4hN4PE5nTO_vlcknUBAOB0fjaLBTZmPr6vegKnfMoQkpXL4i6eo.so6w-zJftMNG9Ahas93J_CT-oOy36wpGwTBJNdXzVk4&dib_tag=se&qid=1723379344&s=kitchen&sr=1-26,https://www.amazon.es/Graef-ESM802EU-Milegra-1600-Cafetera/product-reviews/B07Z8JLQ73/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
