title,rating,body,author,date
"Fácil, bonita y silenciosa!!","5,0 de 5 estrellas","Me encanta, hace el café rapido, es fácil de manejar, mantiene el café caliente dentro del termo y es muy silenciosa!!!! Además queda genial en mi cocina",Barbara,Revisado en España el 26 de enero de 2023
"Programación y jarra térmica, lo mejor","5,0 de 5 estrellas","Bonita, fácil de usar, la programación funciona muy bien. Además, guarda el café caliente a la perfección, sin recalentar lo. Una hora después de hacerse, su temperatura es como recién hecho. El sistema anti-goteó es muy bueno también, la única queja: ya no tengo el olor a café por la mañana. Recomiendo sin duda.",levelyan,Revisado en España el 30 de mayo de 2021
"Al principio bastante bien, aunque la utilidad era mínima porque he hecho café en otras cafeteras.","1,0 de 5 estrellas","Al principio mejor que ahora, que se colapsa, se bloquea y rebosa siempre el café... Muy disgustada...",YDG,Revisado en España el 13 de junio de 2022
La cafetera no calienta lo suficiente,"3,0 de 5 estrellas",El producto está muy bien pero no calienta el café lo suficiente. Cuando es poca cantidad no aguanta caliente lo suficiente.,juan antonio lago bagues,Revisado en España el 27 de enero de 2022
