title,rating,body,author,date
Perfecta,"5,0 de 5 estrellas","Perfecta para quien le guste este tipo de café , ya la conocía de mis estancias en Dinamarca donde es muy habitual en las casas . Yo he comprado el modelo con termo, muy satisfecho con mi compra .",Nelio vila Oliver,Revisado en España el 27 de diciembre de 2022
Buen resultado de café. Pero el termo no mantiene caliente el tiempo que indica el fabricante,"3,0 de 5 estrellas","El resultado del café es muy bueno. El problema es que la jarra termo no mantiene el café caliente ni 3 horas, y el fabricante indicaba mucho más tiempo. Finalmente lo descambié porque me era muy importante lo del termo.",Cliente Amazon,Revisado en España el 17 de noviembre de 2022
Calidad increible,"5,0 de 5 estrellas","La májelo cafetera del mercado sin dudas , limpia , bonita prolija y de la más alta calidad , es mi preferida va perfecta , el café sale delicioso una de mis mejores compras",Guido,Revisado en España el 5 de diciembre de 2021
El café sabe mejor.,"4,0 de 5 estrellas","La compré para mi madre, dice que el café sabe mejor, sale muy rápido y con el termo se mantiene caliente más tiempo.
Yo que puse las piezas que venían sin instalar, puedo decir que la base del termo es un poco endeble. Para mi gusto debería ser más consistente. Por lo demás una maravilla.",Yolanda,Revisado en España el 3 de mayo de 2021
Calidad de lo producto y la calidad del café,"5,0 de 5 estrellas","La calidad del café es realmente fantástica, ¡no es como una máquina de café común! La máquina todavía está hecha a mano.",A2G,Revisado en España el 5 de enero de 2021
Lukas Kotelo Martinez,"1,0 de 5 estrellas",La compre en reacondicionados..la cogi porque tiene una estetica muy bonita.La devolvi porque cuando la abri me lleve un chasco.La cafetera estaba nuevecita a estrenar ..pero traia una pieza rota..en cuanto a amazon todo sobresaliente.,lukas cotelo martinez,Revisado en España el 12 de mayo de 2017
