title,rating,body,author,date
Super ofertas de Amazon,"5,0 de 5 estrellas","Me encanta el color, su calidad y la variedad de cafés que tiene la marca.
Lo tengo de una oferta flash y ahorré más de 40 euros que en otras webs
INCREÍBLE",rosana,Revisado en España el 20 de mayo de 2024
Excelente,"5,0 de 5 estrellas","Buena cafetera, buena calidad!! Excelente servicio de parte de Amazon!! Gracias",Susana Legaz Isaia,Revisado en España el 11 de mayo de 2024
Calidad,"4,0 de 5 estrellas","Me gusta el diseño me ha llegado hoy todavía no la he probado, pero estoy segura de la marca",Ana canarias,Revisado en España el 6 de mayo de 2024
No funciona,"1,0 de 5 estrellas",No funciona y quiero mi devolución,Cliente Amazon,Revisado en España el 1 de mayo de 2024
Buena,"5,0 de 5 estrellas",Por lo pronto va bien y me gusta esta marca y es facil de usar estoy contenta con la compra y el precio que tiene,Naomi garcia santana,Revisado en España el 18 de abril de 2024
"Difícil encontrar as cápsulas, doei a máquina","1,0 de 5 estrellas","Difícil encontrar as cápsulas, doei a máquina",Michelle L.,Revisado en España el 8 de abril de 2024
No funciona bien,"1,0 de 5 estrellas",La cafetera no funciona bien. Querría devolverla,maria,Revisado en España el 2 de abril de 2024
Cafetera Tassimo,"5,0 de 5 estrellas",Muy fácil de usar y no ocupa mucho espacio.,Marí@,Revisado en España el 31 de marzo de 2024
Práctico,"5,0 de 5 estrellas","Hace mucho ruido, no sé si ya del tiempo que la tengo o de que casi me la cargo, pero aun asi, me encanta!",Nela,Revisado en España el 28 de marzo de 2024
Muy buena,"5,0 de 5 estrellas","Funciona estupendamente,con un bonito y compacto diseño que ocupa poco espacio",Marta Z.,Revisado en España el 28 de marzo de 2024
Facil de usar,"3,0 de 5 estrellas",Me ha gustado que que pesa poco pero lo que no me ha gustado nada es que viene con enchufe inglés y tuve que comprar adaptador.,sagrario de la Torre Toro,Revisado en España el 21 de marzo de 2024
Bàsic,"1,0 de 5 estrellas",No funciona,Montse,Revisado en España el 7 de marzo de 2024
Buena,"5,0 de 5 estrellas",Calidad precio,Jose Antonio,Revisado en España el 5 de marzo de 2024
Calidad - precio,"5,0 de 5 estrellas",Llevo 2 años con ella y estoy encantada. Al principio notaba que hacía los cafés muy cortos pero luego descubrí que dejando pulsado el botón de encendido podía alargar el café hasta lo deseado. Sé limpia muy fácil y te avisa cuando hay que descalcificarla. La recomiendo,Elena,Revisado en España el 1 de marzo de 2024
Muy buena,"5,0 de 5 estrellas","El depósito del agua es algo pequeño, pero para el uso que le doy no importa.",Jesús,Revisado en España el 19 de febrero de 2024
Lo que esperaba,"5,0 de 5 estrellas",es una maravilla,JJVG,Revisado en España el 15 de febrero de 2024
Cápsulas carisimas,"1,0 de 5 estrellas","Tengo el modelo antiguo y solo me gustan las cápsulas de café con leche, ahora parece que las están dejando de fabricar aparte del precio descomunal que tienen y ninguna compatible con esta cafetera",Raquel,Revisado en España el 26 de enero de 2024
"Buena cafetera , pero cápsulas caras","4,0 de 5 estrellas",El café está muy bueno pero las cápsulas son de las más caras del mercado y hay pocas o ninguna de marca blanca compatibles,Isaac,Revisado en España el 11 de enero de 2024
El enchufe no es europeo y ha funcionado correctamente 6 meses,"1,0 de 5 estrellas","En la imagen sale enchufe europeo pero no lo es. En pocos meses ya no funciona como al principio, el agua sale templada y muy lenta. Decepcionada",ainhoa,Revisado en España el 7 de enero de 2024
Bueno,"5,0 de 5 estrellas",Si el café es muy práctico y bueno,Lily,Revisado en España el 1 de enero de 2024
Práctica,"4,0 de 5 estrellas","Buen producto, calidad precio la recomiendo, la misma en otros vendedores es más cara y con las mismas características, os recomiendo este vendedor👍🍾🥂",A.....A,Revisado en España el 22 de diciembre de 2023
Va muy bien!,"5,0 de 5 estrellas","Anteriormente tenía una pero después de tanto uso en casa, decidí comprar otra, tiene mucha variedad de cafés, tés, sabores en general. Volveré a comprar otro si se me llega a romper. Es muy útil para el día a día, se hace súper rápido. Muy recomendable. ❤️",Mary,Revisado en España el 19 de diciembre de 2023
¿Un café??☕,"3,0 de 5 estrellas","Es fácil y hace un café perfecto gracias a los códigos de barras en las cápsulas que le informan de qué tipo de bebida se trata y utiliza el agua exacta para cada una. Lastima que no es fácil encontrar las bebidas aparte del café con leche y el capuchino,no hay compatibles prácticamente y de marca blanca hay menos aún.",Conchi,Revisado en España el 16 de diciembre de 2023
Buen cafe,"5,0 de 5 estrellas",De las mejores del mercado,Cliente Amazon,Revisado en España el 14 de diciembre de 2023
Correctísimo,"5,0 de 5 estrellas",Pedido correcto con la descripción,Patricia,Revisado en España el 11 de diciembre de 2023
Pequeña,"5,0 de 5 estrellas","Pequeña ocupa poco, fácil de usar para mi perfecta",Tony,Revisado en España el 27 de noviembre de 2023
Compacta y silenciosa,"5,0 de 5 estrellas","Venía de usar una Krups de otra marca de café. Me compré esta para tenerla en otra vivienda y ha sido un acierto. Al final me quedo con esta y me llevo la otra. Es muy sencilla de usar. Solo abrir, colocar la cápsula y pulsar el botón. Se enciende y apaga sola. El depósito de agua tiene un imán flotante que hace que sea imposible que te quedes sin agua cuando vas a preparar una bebida, ya que solo flota si tiene el agua mínima para prepararlo. Con la otra que tenía me pasaba muchas veces que a mitad de elaboración se queda sin aguan. Buena compra, me alegro del cambio.",Raul P,Revisado en España el 18 de noviembre de 2023
Muy bonita,"4,0 de 5 estrellas","La cafetera es muy bonita ,pero sale poco café , muy medido y me gusta un café más largo ,la devolví porque no salía mucho café y las cápsulas de tassimo son carísimas , nos gusta un café conmas cantidad y incluso con leche no llena un vaso ,que pena",Chus,Revisado en España el 15 de noviembre de 2023
Zero de reseñas,"1,0 de 5 estrellas",Se me ha roto ensegida un produto muy malo,brancourt,Revisado en España el 13 de noviembre de 2023
Perfecta,"5,0 de 5 estrellas","Buena máquina. De momento. Es la primera vez que compro esta marca. Las otras se estropean en un año. A ver qué tal funciona.
Entrega muy rápida. Bien protegida.",Eva F.,Revisado en España el 5 de noviembre de 2023
Veremos...,"3,0 de 5 estrellas","He recibido la cafetera hoy con l caja rota, no la he probado aún, espero que funcione correctamente",laura,Revisado en España el 3 de noviembre de 2023
Café,"4,0 de 5 estrellas","La cafetera súper bien , pero no vino en la caja original y no trajo instrucciones de uso ,me llamo la atención porque nunca me había pasado y de todos los comentarios que he visto todas tenían la caja original y las instrucciones pero de momento funciona bien .",flavia Núñez,Revisado en España el 2 de noviembre de 2023
No pude hacer ni un cafe,"2,0 de 5 estrellas","Vendría mal me la trajeron el domingo no pude hacer ni uno.El lunes me trajeron una cafetería dolce gusto que cancele y la probe y a la primera un cafe buenísimo hoy seur se ha llevado la cafetera bosh no fusionada intente cancelar pedidos de capsulas massimo, sin cafetera no hay café y tengo la casa llena de cápsulas maasmo vaya ruina las tendré que tirar
No es justo",Marife Marijuan,Revisado en España el 31 de octubre de 2023
La mejor en cápsulas,"5,0 de 5 estrellas","Es la segunda que compro para regalar, ya que despues de tener dolcegusto y demas, al probar esta maquina tassimo, tanto por simpleza, limpieza y variedad también en bebidas, es para mí, sin duda, la mejor cafetera de cápsulas",jesus DR,Revisado en España el 28 de octubre de 2023
La recomiendo,"5,0 de 5 estrellas",Me encanta esta cafetera,Eva maria,Revisado en España el 28 de octubre de 2023
Muy buena cafetera,"5,0 de 5 estrellas",Muy buena calidad,Maria Isabel,Revisado en España el 13 de octubre de 2023
Que es el único que tiene chocolate y qu bueno está,"4,0 de 5 estrellas","Principalmente porqu es la única máquina que hace chocolate, como no tomo café pues para mí la cuenta",Loli,Revisado en España el 12 de octubre de 2023
Me encanta,"5,0 de 5 estrellas",Es. Espectacular,Muy buena,Revisado en España el 8 de octubre de 2023
"Precio, calidad","5,0 de 5 estrellas","Me ha gustado el tamaño, el precio y que es automática. Lee un código que viene en la cápsulas y sale la cantidad justa.",Francisco,Revisado en España el 25 de septiembre de 2023
Excelente,"5,0 de 5 estrellas","Había comprado esta cafetera para regalar a mi amiga pero cuando me enteré de que mi amiga ya tenía una igual que está me he puesto en contacto con atención al cliente para solicitar la devolución y la he devuelto y mi han devuelto mi dinero.

Estoy muy contenta con Amazon.",Ikram,Revisado en España el 22 de septiembre de 2023
Cumple su función.,"4,0 de 5 estrellas",Calidad precio.,Diego Pérez.,Revisado en España el 10 de septiembre de 2023
