title,rating,body,author,date
Product works well,"2,0 de 5 estrellas",Used it a few times but not pleased with coffees it uses,Charlie M.,Revisado en España el 18 de mayo de 2024
Una maravilla,"5,0 de 5 estrellas",Perfecta.,Mary Barsan,Revisado en España el 21 de marzo de 2024
Robusta,"5,0 de 5 estrellas","Muy contenta con la compra, buenas calidad, muy sencilla, café delicioso.",Inma,Revisado en España el 25 de octubre de 2023
Es muy buena,"5,0 de 5 estrellas",Estoy súper contento,Tina,Revisado en España el 24 de octubre de 2023
Gran cafetera,"5,0 de 5 estrellas","He tenido varios modelos y este es el mejor de todos .
Detecta que no hay agua en el tanque .
Pero también cuando la cápsula está ya utilizada.
Y lo que más me gusta es que la usas y cuando te hace el café ella misma se apaga .
Hasta que vuelves a abrir para poner otra cápsula.",Juan,Revisado en España el 1 de agosto de 2023
Die beste Kapselmaschine,"5,0 de 5 estrellas","Ich hate zuvor schon andere Kapselmaschinen in Gebrauch. Die Tassimo von Bosch ist aus meiner Sicht der Spitzenreiter!
Der Preis ist unschlagbar… und die Auswahl an Kaffee-Variationen sehr gut.
Positif finde ich, daß die „Milch“-Kapseln tatsächlich Flüssigkeit enthalten und nicht nur Pulver…
Schmeckt einfach besser. Klare Kaufempfehlung.",ShoppingMike,Revisado en Alemania el 29 de junio de 2024
Produit défectueux,"1,0 de 5 estrellas",Le produit à 6 mois et ne fonctionne pas. Le fabricant Boch répond pas.,Client d'Amazon,Revisado en Francia el 19 de junio de 2024
Tolle Reisekaffeemaschine,"5,0 de 5 estrellas","Wir nutzen die Maschine als Reisekaffeemaschine, da in den Hotels meist nur so halbgare Lösungen für den Kaffeedurst vorhanden sind.

Bedienung: Simpler geht es kaum, der ""long-press"" für intensiveren Geschmack funktioniert sehr gut.

Geschmack: Es ist natürlich kein Siebträger, oder Vollautomat, aber für eine Kapselmaschine überraschend guter Geschmack (mit den richtigen Kapseln natürlich). Tipp für alle, die möglichst viel Geschmack wollen, probiert mal L'OR XL Intense.

Reisetauglichkeit: Klein, leicht und handlich auch fix im Beutel verstaut gegen den Krümelkaffee in deutschen Hotelzimmern.",Stefan H.,Revisado en Alemania el 17 de junio de 2024
Tolle Maschine mit wenig Defiziten,"4,0 de 5 estrellas","Ich hatte mir die Maschine aufgrund des Testsieges in der FAZ geholt und verwende sie mit wiederbefüllbaren Kapseln von RECAFIMIL (Silikonvariante). Dadurch stehen mir alle nur denkbaren Kaffeesorten zur Verfügung und ich habe nicht den typischen Kapselmüll. In Kombination mit selbstgemahlenen Sorten aus hiesigen Röstereien ist sie für mich die beste Wahl.

Eine Siebträgermaschine war wegen des Handlings, Pflegeaufwandes und Preises nicht meine erste Wahl und genau in diesen Bereichen kann die TASSIMO ihre Stärken ausspielen. Mit der Qualität bin ich sehr zufrieden. Der erzeugte Kaffee ist klasse. Die Bedienung und Reinigung sind simpel.

Sternabzug gibt es jedoch für das Wassermanagement. Drei Punkte sind mir hier etwas negativ aufgefallen:
1.: Der Wasserbehälter lässt sich oft nur sehr ""hakelig"" rausholen und einsetzen.
2.: Der Wasserbehälter wird nicht richtig leergezogen. Es verbleibt immer ein Füllstand von über einem Zentimeter Wasser im Behälter (ca. 50–100 ml). Selbst wenn das Wasser für eine vollständige Tasse noch gebraucht würde. Die Brühung wird dann leider vorzeitig mit einer halbvollen Tasse abgebrochen, auch wenn genug Wasser für eine volle Tasse vorhanden ist.
3.: Bei der Entkalkung wird der Wasserbehälter am Stück leergezogen. Dass die komplette Menge vorne irgendwie wieder aufgefangen werden muss, wurde dabei offenbar nicht berücksichtigt. Eine Pause nach einer gewissen Durchflussmenge währe hier gut gewesen. Wenn man nicht aufpasst, kann es daher passieren, dass es vorne überläuft – je nachdem was man dort zum Auffangen hinstellt. Glücklicherweise ist der Entkalkungsvorgang seeehr langsam, sodass man für eine Entleerung genug Zeit hat manuell zu pausieren. Man sollte es nur nicht vergessen.

In Anbetracht des Preises (bei meinem Kauf 33 €) und der restlichen Leistung bin ich mit der Maschine sehr zufrieden und so überzeugt, dass ich sie mir auch jederzeit wieder holen würde. Aufgrund des tollen P/L-Verhältnisses erscheint mir nur ein Stern Abzug angemessen.",Ein Käufer,Revisado en Alemania el 30 de mayo de 2024
Gut,"5,0 de 5 estrellas",Schnelle Lieferung und gute Qualität. Bin sehr zufrieden.,Biene,Revisado en Alemania el 24 de marzo de 2024
tassimo automat,"5,0 de 5 estrellas",super teil funzt sehr gut und praktisch,Silvia Spörck,Revisado en Alemania el 20 de marzo de 2024
TASSIMO,"5,0 de 5 estrellas","Jeden Tag freue ich mich auf meinen Latte Macciato. Schönes Design in blau.
Einfach herrlich 😁",Mueller.K,Revisado en Alemania el 18 de marzo de 2024
Für den Preis macht Sie Ihren Job .Aber nicht besonders heiß.,"5,0 de 5 estrellas",Für den schnellen Kaffee am Morgen völlig ausreichend. Allerdings ist der Geschmack nicht besonders und der Kaffee wird nicht richtig heiß. Für das Geld aber noch vertretbar.,M. Thai Krovolk,Revisado en Alemania el 16 de marzo de 2024
Bon Produit,"4,0 de 5 estrellas","Fait un excellent café, facile d'utilisation, son seul point faible: La capacité du réservoir d'eau un peu ''juste''",jeanloup47,Revisado en Francia el 13 de marzo de 2024
Latte etc. Alles möglich,"5,0 de 5 estrellas","Diese Maschine ist nicht zu laut , klein ,handlich ,praktisch, gut.
Ein entkalker wurde auch mit geliefert.",Phyllis und Denis,Revisado en Alemania el 1 de marzo de 2024
Tolle Maschine für leckeren Kaffee!,"5,0 de 5 estrellas","Ich bin sehr zufrieden mit der Tassimo Finess Maschine. Sie ist ein echter Hingucker in meiner Küche und macht einen fantastischen Kaffee. Die Bedienung ist kinderleicht, man muss nur die gewünschte Kapsel einlegen und auf den Knopf drücken. Die Maschine erkennt automatisch die richtige Wassermenge und Brühtemperatur für jede Sorte. Die Kapseln sind auch sehr praktisch, da sie einzeln verpackt sind und lange haltbar sind. Die Auswahl an verschiedenen Kapseln ist riesig, von klassischem Filterkaffee über Espresso und Cappuccino bis hin zu Tee und Kakao. Es ist für jeden Geschmack und jede Tageszeit etwas dabei. Die Maschine ist auch sehr leise und schnell, innerhalb von wenigen Sekunden ist der Kaffee fertig. Die Reinigung ist auch sehr einfach, man muss nur regelmäßig den Wassertank und den Kapselbehälter leeren und gelegentlich die Maschine entkalken. Ich kann die Tassimo Finess Maschine jedem empfehlen, der gerne guten Kaffee trinkt und sich etwas Besonderes gönnen möchte.",Danny Lindner,Revisado en Alemania el 17 de febrero de 2024
Réservoir inadapté,"4,0 de 5 estrellas",Le réservoir est malaisé à retirer pour le remplir et la contenance est beaucoup trop faible par rapport l'ancienne version qu'elle remplace. Ergonomie à revoir !,Abbaci,Revisado en Francia el 8 de diciembre de 2023
Geht so...,"1,0 de 5 estrellas","Ich habe die Maschine verschenkt, zu laut...und am Ende jedes Vorgangs, kommt ein lautes Dampfen & Spritzen.

Bei Kakao kann man erstmal rundherum putzen...
Geht heute zu Tage besser...",Bettina Herbst,Revisado en Alemania el 16 de octubre de 2023
Intense Coffee Experience at the Press of a Single Button!,"5,0 de 5 estrellas","What I love most is the ease of making delicious drinks at the push of a button. The automatic function makes the process simple and fast, and the taste of the coffee is always consistent and tasty. The modern and compact design fits perfectly in my kitchen and adds a touch of elegance. This coffee machine is truly a win for any coffee lover!",Claudiu C,Revisado en Alemania el 21 de septiembre de 2023
deçu,"1,0 de 5 estrellas",Très déçu de cet appareil,NAVARRO Gilles,Revisado en Francia el 28 de agosto de 2023
Grande satisfaction,"5,0 de 5 estrellas",Je recommande,Lyss,Revisado en Francia el 27 de agosto de 2023
Top Gerät zum supper preis,"5,0 de 5 estrellas","Für diesen preis ist diese Kaffeemaschiene ganz gut, macht das was es tun soll",Aksoy Sadik,Revisado en Alemania el 24 de agosto de 2023
nickel,"5,0 de 5 estrellas","Rien à dire pour le prix, le café est juste à la bonne température pour être bue directement, le faite de pouvoir le faire un peu plus fort et aussi très agréable.",bird,Revisado en Francia el 10 de agosto de 2023
Für den Arbeitsplatz super!,"5,0 de 5 estrellas","Verwende die Maschine seit einigen Monaten am Arbeitsplatz und bin sehr zufrieden! Klein, praktisch und große Auswahl an Tassimo-Sorten. Im Vergleich zu Senseo, würde ich die Tassimo auf jeden Fall bevorzugen.",Tnbt76,Revisado en Alemania el 4 de agosto de 2023
"Wer billig kauft, kauft zweimal","1,0 de 5 estrellas","Die Maschine hielt 5 Monate, daan ging sie nicht mehr. Kundensupport ? Keine Reaktion !
Schrott Maschine !",Ti Pl,Revisado en Alemania el 30 de julio de 2023
Defekt nach ein Monat!!!,"1,0 de 5 estrellas","Bitte von der Maschine kommt kein Wasser bei Tastendrücken!
Bitte um eine Lösung.
FG Mohamed Shalaan",Mohamed,Revisado en Alemania el 29 de julio de 2023
Jahrelange Zufriedenheit,"5,0 de 5 estrellas","Schnelle, heiße Getränke
Große Auswahl an Getränken und gut im
Geschmack.",Wilfried Schwedland,Revisado en Alemania el 27 de julio de 2023
Tassimo Kapselmaschiene,"5,0 de 5 estrellas","Die Kapselmaschiene macht einen guten Eindruck. Ich habe fast alle Sorten ausprobiert, was irritiert das xl auf der Packung. Das wird gerade mal eine normale Tasse, ohne xl noch weniger. Bei manchen Packungen sind gerade mal 8 Stück drin, bei einem stolzen Preis. Für einen 1 Personen Haushalt perfekt, wer es sich leisten kann.",Frank53,Revisado en Alemania el 27 de julio de 2023
Tassimo Finesse Kapselmaschine TAS16B2,"5,0 de 5 estrellas",Ich bin sehr zufrieden schnell geliefert und der Kaffee schmeckt gut.,Heike,Revisado en Alemania el 22 de julio de 2023
Gut,"4,0 de 5 estrellas",Die Tassimo Maschine macht an sich vieles richtig. Sie ist sehr erschwinglich und somit einsteigerfreundlich. Es gibt dazu eine große Auswahl an Kapseln mit vielen leckeren Geschmacksrichtungen. Durch die simple Bedienung kann man auch nicht viel falsch machen. Meine einzigen negativen Aspekte sind das der Wassertank sehr klein ist und die Füllmenge nicht einstellbar ist. Wir haben normale Becher und die sind mit der Standarteinstellung immer nur 3/4 voll. Man kann händisch Wasser nachlaufen lassen aber das bei jeder Tasse zu tun ist ein wenig doof.,Fabian H.,Revisado en Alemania el 13 de julio de 2023
Leise und schnell,"5,0 de 5 estrellas",Gegenüber unseres Kaffeevollautomaten ist dieses Gerät sehr leise. Die Auswahl an Fremdkapseln könnte größer sein.,Paul Kühn,Revisado en Alemania el 6 de julio de 2023
