Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
cápsulas,fácil,buena,funciona,buen
fácil,usar,calidad,buena,producto
usar,limpiar,precio,buen,precio
buena,facil,buen,fácil,perfecto
precio,cómoda,fácil,usar,perfecta
buen,práctica,usar,perfectamente,espacio
funciona,ocupa,relación,producto,tamaño
calidad,espacio,compra,maravilla,ruidosa
sale,practica,producto,calidad,caja
gusta,limpieza,excelente,precio,sabor
