Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
buen,buen,buen,buena,fácil
sale,buena,producto,calidad,usar
buena,fácil,servicio,precio,servicio
hacer,usar,precio,compra,producto
fácil,calidad,técnico,excelente,técnico
calidad,precio,años,relación,funciona
usar,limpiar,marca,marca,limpiar
cafés,producto,calidad,parece,garantía
precio,facil,garantía,mala,años
cada,compra,segunda,mejor,reparación
