Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
buena,buena,fácil,buen,precio
calidad,calidad,usar,producto,calidad
fácil,precio,limpiar,precio,relación
buen,relación,buena,diseño,excelente
precio,compra,cómoda,sabor,fácil
usar,materiales,facil,excelente,usar
sale,excelente,práctica,rápida,mala
limpiar,mala,calidad,material,cumple
producto,producto,relación,funcionamiento,mejor
funciona,acabado,manejar,resultado,plástico
