Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
buen (0.2014),buen (0.7310),fácil (0.5059),calidad (0.6580),fácil (0.3448),funciona (0.7157),sale (0.5599),mejor (0.4903),compra (0.4380),producto (0.6133)
sale (0.1884),fácil (0.3121),usar (0.4186),precio (0.5966),servicio (0.2800),sale (0.3532),servicio (0.1649),compra (0.3050),bueno (0.3065),compra (0.2181)
hacer (0.1529),usar (0.2526),limpiar (0.1962),excelente (0.1022),usar (0.2613),bueno (0.1948),bueno (0.1604),cápsulas (0.1498),ruido (0.2937),excelente (0.1771)
fácil (0.1497),precio (0.1381),sale (0.0884),relación (0.0828),producto (0.2150),maravilla (0.1389),producto (0.1325),cafés (0.1429),mucha (0.2188),espuma (0.1616)
usar (0.1431),calidad (0.1147),limpia (0.0661),mejor (0.0565),técnico (0.1796),perfectamente (0.1375),caliente (0.1147),contento (0.1170),gasta (0.1894),sabor (0.1221)
calidad (0.1425),producto (0.1080),rico (0.0586),compra (0.0473),funciona (0.1562),caliente (0.0978),fácil (0.1144),contenta (0.1041),contenta (0.1846),perfecta (0.1140)
cafés (0.1307),limpiar (0.1030),bueno (0.0584),gran (0.0402),garantía (0.1035),encanta (0.0820),técnico (0.1078),sabor (0.0891),excelente (0.1588),contento (0.1110)
precio (0.1280),facil (0.0716),molido (0.0564),materiales (0.0327),años (0.0942),veces (0.0809),usar (0.1055),recomiendo (0.0846),contento (0.1535),momento (0.1085)
cada (0.1247),cumple (0.0380),facil (0.0557),recomiendo (0.0295),después (0.0933),perfecto (0.0764),crema (0.0934),momento (0.0832),limpieza (0.1027),caliente (0.1070)
uso (0.1233),funciona (0.0345),mejor (0.0528),mala (0.0266),reparación (0.0914),contenta (0.0732),aguado (0.0838),duda (0.0797),mejor (0.1010),gusta (0.0909)
