Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
fácil (0.3039),fácil (0.6589),buen (0.5553),funciona (0.7782),calidad (0.5660),cápsulas (0.7207),gusta (0.7960),producto (0.5200),producto (0.5045),perfecto (0.8331)
cápsulas (0.3026),usar (0.5428),precio (0.4587),buen (0.3319),precio (0.4328),caras (0.1285),sale (0.1792),gusta (0.4792),sale (0.4213),bueno (0.3564)
usar (0.2807),limpiar (0.1171),calidad (0.3837),producto (0.1471),funciona (0.1523),funciona (0.1024),buen (0.1474),calidad (0.1721),bueno (0.3127),cápsulas (0.1504)
precio (0.2198),facil (0.0466),producto (0.2057),fácil (0.1251),relación (0.0803),marca (0.0857),bueno (0.0884),caja (0.1657),cápsulas (0.1551),perfecta (0.0914)
buen (0.2085),práctica (0.0353),relación (0.0595),precio (0.0836),bueno (0.0670),blanca (0.0748),precio (0.0789),perfecto (0.1339),caja (0.0970),rápido (0.0881)
funciona (0.1836),cómoda (0.0329),cumple (0.0290),usar (0.0759),excelente (0.0399),compatibles (0.0650),diseño (0.0730),regalo (0.0718),caliente (0.0916),tamaño (0.0747)
calidad (0.1678),ocupa (0.0278),excelente (0.0289),perfectamente (0.0612),compra (0.0321),fácil (0.0569),caras (0.0622),llegado (0.0634),calidad (0.0715),regalo (0.0722)
sale (0.1642),practica (0.0243),recomendada (0.0149),maravilla (0.0564),usar (0.0302),variedad (0.0515),sabor (0.0531),llegó (0.0532),caras (0.0583),cumple (0.0712)
gusta (0.1431),espacio (0.0226),materiales (0.0121),calidad (0.0504),cumple (0.0262),tassimo (0.0406),funciona (0.0501),compra (0.0522),fácil (0.0582),envío (0.0470)
bueno (0.1264),manejo (0.0194),compra (0.0106),llegó (0.0322),fácil (0.0248),precio (0.0393),caliente (0.0496),va (0.0496),usar (0.0469),ocupa (0.0403)
