Topic 1
fácil (0.3039)
cápsulas (0.3026)
usar (0.2807)
precio (0.2198)
buen (0.2085)
funciona (0.1836)
calidad (0.1678)
sale (0.1642)
gusta (0.1431)
bueno (0.1264)
